cricsheet_id,ipl_name
d3a3e82d,AB Barath
7bb62642,Anirudh Singh
cca50cd6,LJ Wright
d68e7f48,R Rampaul
39086549,JR Philippe
a1d053dd,SS Cottrell
f708a0bc,GB Hogg
012829ff,JW Hastings
9ab63e7b,Mohammad Hafeez
8b680f55,Chirra Ravikanthreddy
66cf56a5,A Mithun
14b14cd8,DM Bravo
b970a03f,M Klinger
ac5ae4af,I Udana
f752db61,JL Pattinson
d4eef961,M de Lange
68c56d09,KA Jamieson
f0af99a7,D Ferreira
9f77963a,Gulbadin Naib
6b2ff18f,SB Dubey
1fc6ef83,SD Hope
b274dbbd,ER Dwivedi
e86754b2,TK Curran
ffc0e370,P Joshi
c1cd91c3,IL Howell
4d6d6280,Salman Butt
75de770f,T Taibu
16dfcc19,Umar Gul
7023d182,AN Ghosh
e22d7ccb,Yashpal Sharma
eaa76d3c,C Green
4933f499,JP Behrendorff
2cdce1be,C Sakariya
1ee08e9a,JA Richardson
331ea488,UT Khawaja
1be70c88,LPC Silva
c8ec02e1,S Chaturvedi
4cfdf1d0,SS Raul
a316d663,GC Viljoen
9601c534,SD Lad
b2b4f545,A Mhatre
3c55c703,JG Bethell
cbf58a86,SK Rasheed
1da489ff,S Kaushik
92aeac25,AD Hales
4663bd23,TL Seifert
e412cb64,HF Gurney
fef92afc,SC Kuggeleijn
1a156c88,DJM Short
08548b13,PHKD Mendis
0ee78cf3,AK Argal
59559bc2,J Overton
d83d7796,MW Brown
6b725ed1,SD Fry
890de8cb,Gagandeep Singh
85143097,I Shivram
50a7e89b,MS Mahal
c3c92b42,RS Hangargekar
8048c698,MSS Ranawat
a9dfdf6c,IJ Gould
8d92a2c3,MA Wood
410e2f12,RB Richardson
989889ff,JP Inglis
e96801ea,MS Bhandage
3b53243a,XC Bartlett
d2d4bb0a,TR Birt
03a83c50,V Viyaskanth
dbc50253,AP Dole
e236db6b,VM Bandiwadekar
f18ba07f,Ankit Soni
20a941bb,M Ntini
260fd380,AM Salvi
943fd425,I Malhotra
addbde6c,N Saini
b52ffbbd,FA Allen
0264c10e,D Salunkhe
3a02626a,AG Paunikar
531f0278,K Santokie
50758325,B Geeves
53fe6ee4,DS Lehmann
6042bf26,NJ Rimmington
470050ff,B Vij
2728e7e9,P Dogra
1763bc6c,X Thalaivan Sargunam
d1c94b25,CK Langeveldt
342d8ade,CRD Fernando
27af6414,BJ Rohrer
2c76b512,DJ Muthuswami
540a44ba,R Seth
470f446b,V Suryavanshi
605b7efa,MC Juneja
2461eef2,PA Reddy
e66066be,Subroto Das
b0c772ee,BJ Haddin
91b9300b,UA Birla
107c26fb,KT Maphaka
9d704f6f,SZ Mulani
1cb14aa4,CJ Dala
be869ccf,GHS Garton
73c18486,KR Mayers
82f0b62e,R Shankar
4f629497,SE Bond
ff077124,Kamran Akmal
33cb3411,Younis Khan
e38bce7a,MG Bracewell
8db7f47f,RJW Topley
8dc152d1,D Jansen
9868bc75,BMAJ Mendis
9a963804,LE Plunkett
8ac93ca2,P Chopra
f4cb4f53,AP Majumdar
545cc6db,ZTA Ndamane
c9062c3e,R Rajesh Kannan
a03bba42,T Shamsi
21ac077a,RR Bose
5748e866,TD Paine
469ea22b,KMDN Kulasekara
c96f6ac5,PWA Mulder
cb9b8664,W O'Rourke
ff1e68fa,B Indrajith
888e32bf,Abdur Razzak
f48cf4da,DT Patil
f663ef00,J Arunkumar
cc777ffa,Abdul Basith
864c199e,AC Voges
16605a1b,AA Kazi
1d88908d,K Kelkar
fdcb08c2,A Uniyal
5d1e7582,BKG Mendis
402f8494,RJ Gleeson
26ff4c29,RJ Peterson
8b9704ae,L Ablish
2d140b79,AA Kulkarni
f5db088b,Amit Rana
2892df67,Anish Sahasrabudhe
f24ca2ba,C Nanda
6d9e5a54,S George
b2ef796b,UL Dubey
272d796e,BR Dunk
6834d1f2,B Stanlake
6fa3258c,AT Holdstock
a90e53ec,MW Short
710dd98c,MN van Wyk
f5f18a18,S Randiv
e0351c86,DNT Zoysa
0ed0cdbf,H Das
1e030637,V Puthur
489fb760,Premdip Chatterjee
94bc776b,D Kalyankrishna
36d33dd0,RR Sarwan
ed5a5510,P Dubey
83c3e8e3,SH Johnson
2503e881,A Nel
fb5f69e4,M Tiwari
f21043a5,MDKJ Perera
6dbcf855,VH Zol
8361e524,SSB Magala
62e07f92,KH Devdhar
b1ad996b,MP Yadav
d167edd3,SM Boland
0af3426f,SS Mundhe
dd7e9b3b,YV Dhull
7d3720ba,RR Bhatkal
78eb4223,KAJ Roach
6165bca6,A Mukund
ddc0828d,A Flintoff
6821ac10,JJ van der Wath
ce4cc4d5,R Ninan
51ec3919,T Vijay
abde8fb9,S Banerjee
10a91f35,Shoaib Akhtar
3c28853f,Sediqullah Atal
ada15e88,PSP Handscomb
3ff033bb,MD Shanaka
0b126008,VN Kulkarni
ee3dfa89,Sunny Gupta
25f7b7d6,T Banton
8647d51d,VD Nerurkar
b69e69ed,AA Noffke
a1d95bd8,LB Williams
c695b423,PH Solanki
266849c1,R Goyal
caa89a48,SS Sarkar
5f5d3ad4,SS Shaikh
0a4ebc61,T Henderson
dce2019b,F Behardien
025c4400,MJ Suthar
69d03465,AT Carey
350a07a7,SK Porel
9ff100a6,RS Gavaskar
2eeb4370,C Madan
9948e262,HE van der Dussen
65b6943c,L Wood
ad9c32a2,DJ Malan
798934ea,C Ganapathy
f2c936d7,MJ Owen
441c72ae,P Ray Barman
aa5d8c9e,A Tomar
64a4c383,S Sriram
35f173a0,MP Breetzke
0b60eb09,KA Maharaj
d7a57f75,D du Preez
4e11e004,AK Mitra
4d5a1617,R Bishnoi
4d7f517e,AJ Hosein
58b66172,HS Sekhon
5b16a806,A Dananjaya
d3611425,LI Meriwala
67af6f81,RW Price
bdadf7da,JL Denly
86ae8ef2,MB Parmar
611926bc,GR Napier
1b80ebeb,SA Satbhai
4b4d1957,PM Sarvesh Kumar
7c390b03,RA Shaikh
6043dfe7,Jasbir Singh
5708d0b6,AV Wankhade
d4d929b0,V Kaverappa
afe3355a,AR Bawne
69762509,DR Martyn
0164b064,MG Neser
3134d083,F Gomes
fb24e76c,Monu Kumar
5d58ac60,MR Singh
2e9fdf9b,DAJ Bracewell
fdf7491e,IC Porel
c9d33ef5,RV Pawar
e3851766,KS Rathore
