year,player,team,price_cr,pred_war,actual_war,shortfall,wasted_cr,wasted_median,wasted_ci_low,wasted_ci_high,pct_wasted
2022,Umran Malik,SRH,4.0,1.716673,1.4152393139054062,0.30143368609459364,0.30584146164507786,0.48738727687595673,0.0,4.0,8.0
2020,Deepak Hooda,PBKS,0.5,2.5808072,2.2844337220334716,0.2963734779665286,0.3007072595916615,0.44245996343078076,0.0,0.5,60.0
2014,Mithun Manhas,CSK,0.3,3.3679008,0.833683702989392,2.5342170970106084,0.3,0.3,0.0,0.3,100.0
2014,Kevon Cooper,RR,0.3,3.1832466,2.7814468995010655,0.40179970049893443,0.3,0.3,0.0,0.3,100.0
2022,Basil Thampi,MI,0.3,1.2319589,-0.3815286624203849,1.6134875624203848,0.3,0.3,0.0,0.3,100.0
2017,Munaf Patel,GL,0.3,3.488844,0.4064051110180136,3.0824388889819865,0.3,0.3,0.0,0.3,100.0
2018,Anureet Singh,RR,0.3,1.6434349,-0.5444044449147046,2.1878393449147047,0.3,0.3,0.0,0.3,100.0
2016,Rudra Pratap Singh,RPS,0.3,1.6069347,-0.1813182573994026,1.7882529573994026,0.3,0.3,0.0,0.3,100.0
2017,Saurabh Tiwary,MI,0.3,2.99435,0.42627147046502,2.5680785295349797,0.3,0.3,0.0,0.3,100.0
2015,Juan Theron,RR,0.3,0.89105505,-0.2646355096261392,1.155690559626139,0.3,0.3,0.0,0.3,100.0
2014,Dishant Yagnik,RR,0.3,6.9142785,-0.2153037608486017,7.1295822608486015,0.3,0.3,0.0,0.3,100.0
2021,Jagadeesha Suchith,SRH,0.3,1.7444628,0.1099896564207761,1.634473143579224,0.3,0.3,0.0,0.3,100.0
2014,Abu Nechim Ahmed,RCB,0.3,2.4754498,1.5284033373862729,0.9470464626137269,0.3,0.3,0.0,0.3,100.0
2021,J Suchith,SRH,0.3,1.7444628,0.1099896564207761,1.634473143579224,0.3,0.3,0.0,0.3,100.0
2022,Jason Holder,LSG,8.75,1.7732755,1.5187004273802778,0.25457507261972223,0.2582976485381411,0.5501785830028514,0.0,8.75,3.0
2016,Sanju Samson,DC,4.2,1.5312213,1.2803535353535382,0.25086776464646166,0.2545361296979586,0.3569059786933846,0.0,4.2,6.0
2017,Aditya Tare,DC,0.25,-0.111652516,-0.7944176790950976,0.6827651630950976,0.25,0.25,0.0,0.25,100.0
2012,Herschelle Gibbs,MI,0.25,3.7980037,-1.2237209302325598,5.02172463023256,0.25,0.25,0.0,0.25,100.0
2018,Shreevats Goswami,SRH,1.0,0.7762582,0.564066147859922,0.21219205214007797,0.2152948736977741,0.0,0.0,1.0,22.0
2022,Ripal Patel,DC,0.2,3.476607,0.3006355932203389,3.175971406779661,0.2,0.2,0.0,0.2,100.0
2022,Shashank Singh,SRH,0.2,2.3999703,2.175056915241535,0.224913384758465,0.2,0.0,0.0,0.2,100.0
2022,Tushar Deshpande,CSK,0.2,0.57508266,-0.2000562008242795,0.7751388608242795,0.2,0.2,0.0,0.2,100.0
2023,Kulwant Khejroliya,KKR,0.2,2.3504543,-1.8335885167464108,4.184042816746411,0.2,0.2,0.0,0.2,100.0
2023,Murugan Ashwin,RR,0.2,1.3701979,-1.2228468899521523,2.5930447899521525,0.2,0.2,0.0,0.2,100.0
2022,N Jagadeesan,CSK,0.2,3.0699944,0.008474576271186,3.061519823728814,0.2,0.2,0.0,0.2,100.0
2023,Vishnu Vinod,MI,0.2,0.7740282,0.2,0.5740282000000001,0.2,0.2,0.0,0.2,100.0
2023,Sanvir Singh,SRH,0.2,3.816834,0.115625,3.701209,0.2,0.2,0.0,0.2,100.0
2023,Prerak Mankad,LSG,0.2,2.285584,1.20625,1.079334,0.2,0.2,0.0,0.2,100.0
2023,Anmolpreet Singh,SRH,0.2,2.2924654,1.421875,0.8705904000000002,0.2,0.2,0.0,0.2,100.0
2022,Priyam Garg,SRH,0.2,3.6696448,1.3069915254237288,2.362653274576271,0.2,0.2,0.0,0.2,100.0
2018,Kshitiz Sharma,CSK,0.2,6.393297,0.1763565732978932,6.216940426702107,0.2,0.2,0.0,0.2,100.0
2022,Mohammed Arshad Khan,MI,0.2,3.5242076,-0.075,3.5992076,0.2,0.2,0.0,0.2,100.0
2015,C M Gautam,DC,0.2,1.939274,-0.1433531746031745,2.0826271746031746,0.2,0.2,0.0,0.2,100.0
2019,Arshdeep Singh,PBKS,0.2,2.2164907,-1.5809159280150409,3.797406628015041,0.2,0.2,0.0,0.2,100.0
2019,Nikhil Shankar Naik,KKR,0.2,1.0681921,-1.1796463815789475,2.2478384815789476,0.2,0.2,0.0,0.2,100.0
2020,Nikhil Shankar Naik,KKR,0.2,-0.010847559,-0.2173286672499271,0.2064811082499271,0.2,0.09462247986073839,0.0,0.2,100.0
2020,Prince Balwant Rai Singh,MI,0.2,2.3807602,-0.0866433362496355,2.467403536249636,0.2,0.2,0.0,0.2,100.0
2021,Akash Singh,RR,0.2,0.028727725,-0.5153722334004031,0.544099958400403,0.2,0.2,0.0,0.2,100.0
2021,Kuldip Yadav,RR,0.2,2.8277755,-0.4164254067858808,3.244200906785881,0.2,0.2,0.0,0.2,100.0
2021,Sachin Baby,RCB,0.2,2.1886919,-1.0371419828641375,3.225833882864137,0.2,0.2,0.0,0.2,100.0
2022,Manan Vohra,LSG,0.2,1.5670502,0.7025423728813558,0.8645078271186442,0.2,0.2,0.0,0.2,100.0
