year,n_players,r2,rmse,mae,rank_corr,price_pred_corr,price_actual_corr,pct_overpaid,pct_underpaid
2012,10,-0.228483745499114,6.199414741122413,5.35931447706457,0.5636363636363636,0.5151515151515151,0.2606060606060606,45.45454545454545,9.090909090909092
2013,14,-1.271187588911539,6.409764853650694,5.119441335267344,-0.2662267837617375,-0.23920632480384563,0.2588552591309756,19.047619047619047,9.523809523809524
2014,125,-0.05033948912245112,6.183619850762065,4.612045283574781,0.3881064426677466,0.6185378360503176,0.5490419122564743,24.81203007518797,12.781954887218046
2015,17,-0.11091063112577326,4.846599565333119,4.070014855582335,0.14215686274509806,0.48588993630932226,0.10552155182475181,17.24137931034483,10.344827586206897
2016,43,-0.007989429582219154,4.937549988912867,3.7649935306708655,0.15918444413838706,0.2502464549661906,0.2254554463161695,16.666666666666668,16.666666666666668
2017,24,-0.31186877662848533,5.494648844502358,4.360813794573475,-0.05826086956521739,0.041111584716519455,0.2908425940051642,15.151515151515152,12.121212121212121
2018,116,0.14599221113702243,6.422019649785829,4.982247776725448,0.3234670557057586,0.46541213002052134,0.5170605263875087,17.293233082706767,11.278195488721805
2019,22,0.19264461962209845,4.613624363463505,3.8709817389303827,0.3988700564971752,0.014726754152865246,-0.07420018438559028,33.333333333333336,14.814814814814815
2020,28,-0.17147759459898237,5.7868030328168985,4.629152773567711,0.26139318706534714,0.5467827431207916,0.3279771455380969,16.666666666666668,11.11111111111111
2021,31,-0.0012034236651747854,4.795464047333545,3.643669175060651,0.417666635177787,0.3122036855946651,0.311766425530807,9.859154929577464,1.408450704225352
2022,150,0.12088012814690208,6.587786113573928,4.800543271561384,0.36656716315474575,0.4991040341191236,0.48682467279321634,14.117647058823529,16.470588235294116
2023,33,0.031839022722182975,7.238240980137604,5.163738647094236,0.27439839572192515,-0.015705913115114482,0.1352074259475073,17.073170731707318,4.878048780487805
2025,43,0.28412346356475005,6.026323884329093,5.023273807547683,0.538961038961039,0.5908715483414659,0.5661409297695436,15.909090909090908,6.818181818181818
