First Name,Surname,Reserve Price (Rs. Lakh),Country,Age,Role ,Test caps,ODI caps,T20 caps,IPL,Previous IPL Team(s),2022 Team,IPL 2022 Appearances,C/U/A
Anirudh,Sharma,20,India,20,ALL-ROUNDER,,,,,,,,Uncapped
Suyash,Sharma,20,India,19,BOWLER,,,,,,,,Uncapped
Jonty,Sidhu,20,India,25,ALL-ROUNDER,,,,,,,,Uncapped
Digvesh,Singh,20,India,23,ALL-ROUNDER,,,,,,,,Uncapped
Bhagwan,Singh,20,India,22,BOWLER,,,,,,,,Uncapped
Aayush,Singh,20,India,21,BOWLER,,,,,,,,Uncapped
Vikas,Solanki,20,India,22,WICKETKEEPER,,,,,,,,Uncapped
Lakshay,Thareja,20,India,25,WICKETKEEPER,,,,,,,,Uncapped
A.,Vaibhav,20,India,26,BOWLER,,,,,,,,Uncapped
Shivank,Vashisth,20,India,27,ALL-ROUNDER,,,,,,,,Uncapped
Pranshu,Vijayran,20,India,27,ALL-ROUNDER,,,,,,,,Uncapped
Prince,Yadav,20,India,21,BOWLER,,,,,,,,Uncapped
Felix,Alemao,20,India,27,BOWLER,,,,,,,,Uncapped
Samar,Dubhashi,20,India,27,WICKETKEEPER,,,,,,,,Uncapped
Ishaan,Gadekar,20,India,25,WICKETKEEPER,,,,,,,,Uncapped
Deepraj,Gaonkar,20,India,25,ALL-ROUNDER,,,,,,,,Uncapped
Lakshay,Garg,20,India,27,ALL-ROUNDER,,,,,,,,Uncapped
Eknath,Kerkar,20,India,29,WICKETKEEPER,,,,,,,,Uncapped
Vedant,Naik,20,India,26,ALL-ROUNDER,,,,,,,,Uncapped
Amulya,Pandrekar,20,India,27,ALL-ROUNDER,,,,,,,,Uncapped
Tunish,Sawkar,20,India,24,ALL-ROUNDER,,,,,,,,Uncapped
Amit,Yadav,20,India,33,ALL-ROUNDER,,,,,,,,Uncapped
Japagnya,Bhatt,20,India,21,ALL-ROUNDER,,,,,,,,Uncapped
Saurav,Chuahan,20,India,22,BATSMAN,,,,,,,,Uncapped
Aarya,Desai,20,India,20,ALL-ROUNDER,,,,,,,,Uncapped
Chirag,Gandhi,20,India,32,BATSMAN,,,,,,,,Uncapped
Vishal,Jayswal,20,India,25,ALL-ROUNDER,,,,,,,,Uncapped
Roosh,Kalaria,20,India,30,BOWLER,,,,,,,,Uncapped
Hiten Kumar,Mahera,20,India,25,BATSMAN,,,,,,,,Uncapped
Jay,Malusare,20,India,21,BOWLER,,,,,,,,Uncapped
Arzan,Nagwaswalla,20,India,25,BOWLER,,,,,,,,Uncapped
Jayveersinh,Parmar,20,India,24,BOWLER,,,,,,,,Uncapped
Smit,Patel,20,India,22,BATSMAN,,,,,,,,Uncapped
Hemang,Patel,20,India,24,ALL-ROUNDER,,,,,,,,Uncapped
Urvil,Patel,20,India,24,WICKETKEEPER,,,,,,,,Uncapped
Kshitij Kumar,Patel,20,India,25,BATSMAN,,,,,,,,Uncapped
Priyesh,Patel,20,India,21,WICKETKEEPER,,,,,,,,Uncapped
Karan,Patel,20,India,28,ALL-ROUNDER,,,,,,,,Uncapped
Hardik,Patel,20,India,27,BOWLER,,,,,,,,Uncapped
Dinesh ,Bana ,20,India,18,WICKETKEEPER,,,,,,,,Uncapped
Jaideep,Bhambhu,20,India,24,BOWLER,,,,,,,,Uncapped
Chaitanya,Bishnoi,20,India,28,ALL-ROUNDER,,,,,,,,Uncapped
Ajit,Chahal,20,India,27,BOWLER,,,,,,,,Uncapped
Shivam,Chauhan,20,India,25,BATSMAN,,,,,,,,Uncapped
Kapil,Hooda,20,India,26,WICKETKEEPER,,,,,,,,Uncapped
Mohit,Kalyan,20,India,30,ALL-ROUNDER,,,,,,,,Uncapped
Anshul,Kamboj,20,India,22,ALL-ROUNDER,,,,,,,,Uncapped
Aman,Kumar,20,India,26,BOWLER,,,,,,,,Uncapped
Sumit,Kumar,20,India,27,WICKETKEEPER,,,,,,,,Uncapped
Tinu,Kundu,20,India,28,BOWLER,,,,,,,,Uncapped
Sanjay,Pahal,20,India,29,ALL-ROUNDER,,,,,,,,Uncapped
Nehal,Pajni,20,India,22,BATSMAN,,,,,,,,Uncapped
Jitender,Pal,20,India,23,ALL-ROUNDER,,,,,,,,Uncapped
Dhruv,Parashar,20,India,25,BATSMAN,,,,,,,,Uncapped
Amit,Rana,20,India,27,BOWLER,,,,,,,,Uncapped
Himanshu,Rana,20,India,24,BATSMAN,,,,,,,,Uncapped
Ashok ,Sandhu,20,India,22,ALL-ROUNDER,,,,,,,,Uncapped
Garv ,Sangwan ,20,India,19,ALL-ROUNDER,,,,,,,,Uncapped
Yashu,Sharma,20,India,24,WICKETKEEPER,,,,,,,,Uncapped
Rohit,Sharma,20,India,29,WICKETKEEPER,,,,,,,,Uncapped
Nishant,Sindhu,20,India,18,ALL-ROUNDER,,,,,,,,Uncapped
Yuvraj ,Singh ,20,India,18,BATSMAN,,,,,,,,Uncapped
Prashant,Vashist,20,India,24,ALL-ROUNDER,,,,,,,,Uncapped
Raghav,Dhawan,20,India,36,WICKETKEEPER,,,,,,,,Uncapped
Vinay,Galetiya,20,India,30,BOWLER,,,,,,,,Uncapped
Nikhil,Gangta,20,India,30,BATSMAN,,,,,,,,Uncapped
Hritik,Kalia,20,India,23,BOWLER,,,,,,,,Uncapped
Ankit,Maini,20,India,33,ALL-ROUNDER,,,,,,,,Uncapped
Ekant,Sen,20,India,27,BATSMAN,,,,,,,,Uncapped
Gurvinder,Singh,20,India,39,BOWLER,,,,,,,,Uncapped
Kanwar,Singh,20,India,31,BOWLER,,,,,,,,Uncapped
Akash,Vashisht,20,India,28,ALL-ROUNDER,,,,,,,,Uncapped
Sumeet,Verma,20,India,32,ALL-ROUNDER,,,,,,,,Uncapped
Alankrit,Agarwal,20,India,23,ALL-ROUNDER,,,,,,,,Uncapped
Abdul Ela,Al Quraishi,20,India,25,ALL-ROUNDER,,,,,,,,Uncapped
Punnaiah,Anjaneyulu,20,India,19,BOWLER,,,,,,,,Uncapped
Mohammed,Asaduddin,20,India,32,BATSMAN,,,,,,,,Uncapped
Santosh,Goud,20,India,23,ALL-ROUNDER,,,,,,,,Uncapped
Mickil,Jaiswal,20,India,24,ALL-ROUNDER,,,,,,,,Uncapped
Kartikeya,Kak,20,India,26,BOWLER,,,,,,,,Uncapped
Mohd,Khader,20,India,35,BOWLER,,,,,,,,Uncapped
Shashank ,Mehrotra,20,India,20,ALL-ROUNDER,,,,,,,,Uncapped
C.T.L.,Rakshann,20,India,22,BOWLER,,,,,,,,Uncapped
G.Aniketh,Reddy,20,India,22,ALL-ROUNDER,,,,,,,,Uncapped
Abhirath,Reddy,20,India,26,ALL-ROUNDER,,,,,,,,Uncapped
Pragnay,Reddy,20,India,23,WICKETKEEPER,,,,,,,,Uncapped
Samhith,Reddy,20,India,23,ALL-ROUNDER,,,,,,,,Uncapped
Rishith ,Reddy,20,India,19,ALL-ROUNDER,,,,,,,,Uncapped
Chandan,Sahani,20,India,25,BATSMAN,,,,,,,,Uncapped
E.,Sanketh,20,India,23,BOWLER,,,,,,,,Uncapped
Bhavesh,Seth,20,India,25,WICKETKEEPER,,,,,,,,Uncapped
Tanay,Thyagarajann,20,India,27,ALL-ROUNDER,,,,,,,,Uncapped
Shreyas,Vala,20,India,26,ALL-ROUNDER,,,,,,,,Uncapped
Musaif,Ajaz,20,India,20,BATSMAN,,,,,,,,Uncapped
Basit,Bashir,20,India,20,BOWLER,,,,,,,,Uncapped
Mohammad,Bhat,20,India,27,BOWLER,,,,,,,,Uncapped
Auqib,Dar,20,India,26,BOWLER,,,,,,,,Uncapped
Shahrukh,Dar,20,India,29,BOWLER,,,,,,,,Uncapped
Javid,Ganaie,20,India,23,BOWLER,,,,,,,,Uncapped
Shubham,Khajuria,20,India,27,BATSMAN,,,,,,,,Uncapped
Waseem,Khanday,20,India,23,BOWLER,,,,,,,,Uncapped
Jiyaad,Magrey,20,India,23,BATSMAN,,,,,,,,Uncapped
Fazil,Makaya,20,India,26,WICKETKEEPER,,,,,,,,Uncapped
Henan,Malik,20,India,26,BATSMAN,,,,,,,,Uncapped
Umar Nazir,Mir,20,India,29,BOWLER,,,,,,,,Uncapped
Abid,Mushtaq,20,India,26,ALL-ROUNDER,,,,,,,,Uncapped
Lone,Muzaffar,20,India,25,ALL-ROUNDER,,,,,,,,Uncapped
Shubham Singh ,Pundir,20,India,24,BATSMAN,,,,,,,,Uncapped
Shivansh,Sharma,20,India,19,WICKETKEEPER,,,,,,,,Uncapped
Govind,Sharma,20,India,22,ALL-ROUNDER,,,,,,,,Uncapped
Vivrant,Sharma,20,India,23,ALL-ROUNDER,,,,,,,,Uncapped
Mujtaba,Yousuf,20,India,20,BOWLER,,,,,,,,Uncapped
Kumar,Deobrat,20,India,30,BATSMAN,,,,,,,,Uncapped
Bal,Krishna,20,India,24,ALL-ROUNDER,,,,,,,,Uncapped
Kumar,Kushagra,20,India,18,WICKETKEEPER,,,,,,,,Uncapped
Mohammad,Siddiqui,20,India,28,WICKETKEEPER,,,,,,,,Uncapped
Vikash,Singh,20,India,28,BOWLER,,,,,,,,Uncapped
Ashwin ,Anand,20,India,23,BATSMAN,,,,,,,,Uncapped
J.,Ananthakrishnan,20,India,21,ALL-ROUNDER,,,,,,,,Uncapped
Mohammed,Anas,20,India,23,ALL-ROUNDER,,,,,,,,Uncapped
Vaisakh ,Chandran,20,India,26,ALL-ROUNDER,,,,,,,,Uncapped
Fazil,Fanoos,20,India,25,BOWLER,,,,,,,,Uncapped
Rojith,Ganesh,20,India,29,WICKETKEEPER,,,,,,,,Uncapped
Gokul,Gopinath,20,India,23,BOWLER,,,,,,,,Uncapped
Sijomon,Joseph,20,India,25,BOWLER,,,,,,,,Uncapped
Adhithya,Krishnan,20,India,21,BOWLER,,,,,,,,Uncapped
Anand,Krishnan,20,India,25,BATSMAN,,,,,,,,Uncapped
Midhun,Krishnan,20,India,28,ALL-ROUNDER,,,,,,,,Uncapped
Manu,Krishnan,20,India,34,ALL-ROUNDER,,,,,,,,Uncapped
Rohan ,Kunnummal,20,India,24,BATSMAN,,,,,,,,Uncapped
Vinoop,Manoharan,20,India,30,ALL-ROUNDER,,,,,,,,Uncapped
Sharafuddeen,N M,20,India,28,WICKETKEEPER,,,,,,,,Uncapped
Varun ,Nayanar ,20,India,20,WICKETKEEPER,,,,,,,,Uncapped
Salman,Nizar,20,India,25,BATSMAN,,,,,,,,Uncapped
Abdul,P A,20,India,24,ALL-ROUNDER,,,,,,,,Uncapped
Basil,Poulose,20,India,26,BOWLER,,,,,,,,Uncapped
Krishna ,Prasad,20,India,23,BATSMAN,,,,,,,,Uncapped
Shoun ,Roger ,20,India,20,BATSMAN,,,,,,,,Uncapped
Aswanth,Sankar,20,India,20,BOWLER,,,,,,,,Uncapped
Akhin,Sathar,20,India,21,BOWLER,,,,,,,,Uncapped
Vathsal,Sharma,20,India,23,ALL-ROUNDER,,,,,,,,Uncapped
Sachin,Suresh,20,India,25,WICKETKEEPER,,,,,,,,Uncapped
Suresh,Vishweshar ,20,India,25,BOWLER,,,,,,,,Uncapped
Manoj,Bhandage,20,India,24,ALL-ROUNDER,,,,,,,,Uncapped
Nischal,Dega,20,India,28,BATSMAN,,,,,,,,Uncapped
Shubhang,Hegde,20,India,22,ALL-ROUNDER,,,,,,,,Uncapped
Stallin,Hoover,20,India,34,ALL-ROUNDER,,,,,,,,Uncapped
Sharath,Hosagavi,20,India,30,BOWLER,,,,,,,,Uncapped
Prateek,Jain,20,India,28,BOWLER,,,,,,,,Uncapped
Rohan,Kadam,20,India,28,BATSMAN,,,,,,,,Uncapped
Vidwath,Kaverappa,20,India,24,BOWLER,,,,,,,,Uncapped
Siddharth,Krishnamurthy,20,India,30,WICKETKEEPER,,,,,,,,Uncapped
Shrijith,Krishnan,20,India,26,WICKETKEEPER,,,,,,,,Uncapped
Chethan,L.R.,20,India,22,BATSMAN,,,,,,,,Uncapped
Venkatesh,Muralidhara,20,India,22,BOWLER,,,,,,,,Uncapped
Rohan,Patil,20,India,21,BATSMAN,,,,,,,,Uncapped
Vidyadhar,Patil,20,India,22,BOWLER,,,,,,,,Uncapped
Nikin Jose,Salem,20,India,22,BATSMAN,,,,,,,,Uncapped
B.R.,Sharath,20,India,26,WICKETKEEPER,,,,,,,,Uncapped
Sharath,Srinivas,20,India,27,WICKETKEEPER,,,,,,,,Uncapped
Mohammed,Taha,20,India,29,BATSMAN,,,,,,,,Uncapped
Nihal,Ullal,20,India,30,WICKETKEEPER,,,,,,,,Uncapped
Koushik,Vasuki,20,India,30,BOWLER,,,,,,,,Uncapped
Vyshak,Vijay Kumar,20,India,26,BOWLER,,,,,,,,Uncapped
Kushaal,Wadhwani,20,India,26,BOWLER,,,,,,,,Uncapped
Satyajeet,Bachhav,20,India,30,BOWLER,,,,,,,,Uncapped
Taranjeet Singh,Dhillon,20,India,30,ALL-ROUNDER,,,,,,,,Uncapped
Nikit,Dhumal,20,India,31,BOWLER,,,,,,,,Uncapped
Razeq,Fallah,20,India,19,BOWLER,,,,,,,,Uncapped
Swapnil,Fulpagar,20,India,24,WICKETKEEPER,,,,,,,,Uncapped
Ramakrishna,Ghosh,20,India,25,ALL-ROUNDER,,,,,,,,Uncapped
Rohit,Hadke,20,India,21,ALL-ROUNDER,,,,,,,,Uncapped
Divyang,Hinganekar,20,India,29,ALL-ROUNDER,,,,,,,,Uncapped
Manoj,Ingale,20,India,28,BOWLER,,,,,,,,Uncapped
Atharva,Kale,20,India,23,BATSMAN,,,,,,,,Uncapped
Shamshuzama,Kazi,20,India,28,ALL-ROUNDER,,,,,,,,Uncapped
Azim,Kazi,20,India,29,ALL-ROUNDER,,,,,,,,Uncapped
Shubham,Kothari,20,India,26,ALL-ROUNDER,,,,,,,,Uncapped
Kunal,Kothavade,20,India,26,ALL-ROUNDER,,,,,,,,Uncapped
Yash ,Kshirsagar,20,India,24,BATSMAN,,,,,,,,Uncapped
Yash,Nahar,20,India,28,BATSMAN,,,,,,,,Uncapped
Bhushan,Navande,20,India,26,BATSMAN,,,,,,,,Uncapped
Ranjit,Nikam,20,India,23,ALL-ROUNDER,,,,,,,,Uncapped
Ashay,Palkar,20,India,33,ALL-ROUNDER,,,,,,,,Uncapped
Omkar,Patkal,20,India,20,ALL-ROUNDER,,,,,,,,Uncapped
Pavan,Shah,20,India,23,BATSMAN,,,,,,,,Uncapped
Naushad,Shaikh,20,India,31,WICKETKEEPER,,,,,,,,Uncapped
Soham ,Shinde ,20,India,19,BATSMAN,,,,,,,,Uncapped
Kaushal,Tambe,20,India,20,ALL-ROUNDER,,,,,,,,Uncapped
Siddhesh,Veer,20,India,22,ALL-ROUNDER,,,,,,,,Uncapped
Siddhesh,Warghante,20,India,24,ALL-ROUNDER,,,,,,,,Uncapped
Sunil ,Yadav,20,India,31,BOWLER,,,,,,,,Uncapped
Vishal,Addagatla,20,India,29,ALL-ROUNDER,,,,,,,,Uncapped
Siddharth,Akre,20,India,25,BATSMAN,,,,,,,,Uncapped
Atharva,Ankolekar,20,India,22,ALL-ROUNDER,,,,,,,,Uncapped
Mohit,Avasthi,20,India,30,BOWLER,,,,,,,,Uncapped
Khizar,Dafedar,20,India,25,ALL-ROUNDER,,,,,,,,Uncapped
Royston,Dias,20,India,29,BOWLER,,,,,,,,Uncapped
Sylvester ,Dsouza ,20,India,24,BOWLER,,,,,,,,Uncapped
Sahil,Jadhav,20,India,21,WICKETKEEPER,,,,,,,,Uncapped
Shashwat,Jagtap,20,India,20,ALL-ROUNDER,,,,,,,,Uncapped
Pragnesh,Kanpillewar,20,India,21,ALL-ROUNDER,,,,,,,,Uncapped
Ayaz,Khan,20,India,20,ALL-ROUNDER,,,,,,,,Uncapped
Tanush,Kotian,20,India,24,ALL-ROUNDER,,,,,,,,Uncapped
Bhupen,Lalwani,20,India,24,BATSMAN,,,,,,,,Uncapped
Dhrumil,Matkar,20,India,26,ALL-ROUNDER,,,,,,,,Uncapped
Shikhar,Mehta,20,India,29,ALL-ROUNDER,,,,,,,,Uncapped
Sujit,Nayak,20,India,33,ALL-ROUNDER,,,,,,,,Uncapped
Suved ,Parkar,20,India,22,BATSMAN,,,,,,,,Uncapped
Sairaj,Patil,20,India,26,ALL-ROUNDER,,,,,,,,Uncapped
Divyaansh,Saxena,20,India,22,ALL-ROUNDER,,,,,,,,Uncapped
Suryansh ,Shedge ,20,India,20,ALL-ROUNDER,,,,,,,,Uncapped
Himanshu,Singh,20,India,19,ALL-ROUNDER,,,,,,,,Uncapped
Pawan,Singh,20,India,28,ALL-ROUNDER,,,,,,,,Uncapped
Ravindra,Solanki,20,India,32,BOWLER,,,,,,,,Uncapped
Maxwell,Swaminathan,20,India,24,ALL-ROUNDER,,,,,,,,Uncapped
Parikshit,Valsangkar,20,India,28,ALL-ROUNDER,,,,,,,,Uncapped
Abhishek,Kumar,20,India,20,BOWLER,,,,,,,,Uncapped
Kishan,Lyngdoh,20,India,25,BATSMAN,,,,,,,,Uncapped
Bishworjit,Konthoujam,20,India,27,BOWLER,,,,,,,,Uncapped
Nitesh ,Sedai ,20,India,25,ALL-ROUNDER,,,,,,,,Uncapped
Rahul,Chandrol,20,India,22,WICKETKEEPER,,,,,,,,Uncapped
Ashwin,Das,20,India,27,ALL-ROUNDER,,,,,,,,Uncapped
Puneet,Datey,20,India,28,BOWLER,,,,,,,,Uncapped
Yash,Dubey,20,India,24,BATSMAN,,,,,,,,Uncapped
Kuldeep,Gehi,20,India,28,WICKETKEEPER,,,,,,,,Uncapped
Mihir,Hirwani,20,India,28,ALL-ROUNDER,,,,,,,,Uncapped
Ankit,Kushwah,20,India,30,WICKETKEEPER,,,,,,,,Uncapped
Akshat,Raghuwanshi,20,India,19,BATSMAN,,,,,,,,Uncapped
Ajay,Rohera,20,India,25,WICKETKEEPER,,,,,,,,Uncapped
Parth,Sahani,20,India,30,ALL-ROUNDER,,,,,,,,Uncapped
Shubham,Sharma,20,India,29,ALL-ROUNDER,,,,,,,,Uncapped
Kamal,Tripathi,20,India,24,ALL-ROUNDER,,,,,,,,Uncapped
Gourav,Yadav,20,India,31,BOWLER,,,,,,,,Uncapped
Chetan,Bist,20,India,33,BATSMAN,,,,,,,,Uncapped
Khrievitso,Kense,20,India,19,BOWLER,,,,,,,,Uncapped
Akash,Singh,20,India,20,BOWLER,,,,,,,,Uncapped
Sushil,Barik,20,India,20,BOWLER,,,,,,,,Uncapped
Rajesh,Mohanty,20,India,22,BOWLER,,,,,,,,Uncapped
Anshuman,Rath,20,India,25,WICKETKEEPER,,,,,,,,Uncapped
Krishan,Alang,20,India,31,ALL-ROUNDER,,,,,,,,Uncapped
Gurnoor Singh,Brar,20,India,22,BOWLER,,,,,,,,Uncapped
Gourav,Choudhary,20,India,24,BATSMAN,,,,,,,,Uncapped
Vinay,Choudhary,20,India,29,BOWLER,,,,,,,,Uncapped
Aryaman Singh,Dhaliwal,20,India,20,ALL-ROUNDER,,,,,,,,Uncapped
Naman,Dhir,20,India,23,ALL-ROUNDER,,,,,,,,Uncapped
Prerit,Dutta,20,India,24,ALL-ROUNDER,,,,,,,,Uncapped
Abhishek,Gupta,20,India,32,WICKETKEEPER,,,,,,,,Uncapped
Armaan Singh,Gurna,20,India,25,ALL-ROUNDER,,,,,,,,Uncapped
Gitansh,Khera,20,India,31,WICKETKEEPER,,,,,,,,Uncapped
Ashwani,Kumar,20,India,21,BOWLER,,,,,,,,Uncapped
Ramesh,Kumar,20,India,24,BOWLER,,,,,,,,Uncapped
Anmol,Malhotra,20,India,27,WICKETKEEPER,,,,,,,,Uncapped
Pukhraj,Mann,20,India,21,BATSMAN,,,,,,,,Uncapped
Akul,Pandove,20,India,25,ALL-ROUNDER,,,,,,,,Uncapped
Abhinav,Sharma,20,India,25,ALL-ROUNDER,,,,,,,,Uncapped
Sanvir ,Singh,20,India,26,ALL-ROUNDER,,,,,,,,Uncapped
Vishwanath Pratap,Singh,20,India,24,WICKETKEEPER,,,,,,,,Uncapped
Prabjot,Singh,20,India,28,BATSMAN,,,,,,,,Uncapped
Nehal,Wadhera,20,India,22,ALL-ROUNDER,,,,,,,,Uncapped
Shiva,Chauhan,20,India,25,ALL-ROUNDER,,,,,,,,Uncapped
Sahil,Dhiwan,20,India,25,ALL-ROUNDER,,,,,,,,Uncapped
Arjit,Gupta,20,India,33,WICKETKEEPER,,,,,,,,Uncapped
Deepak,Karwasra,20,India,23,ALL-ROUNDER,,,,,,,,Uncapped
Salman,Khan,20,India,24,ALL-ROUNDER,,,,,,,,Uncapped
Yash,Kothari,20,India,27,WICKETKEEPER,,,,,,,,Uncapped
Hemant,Kumar,20,India,27,BOWLER,,,,,,,,Uncapped
Abhimanyu,Lamba,20,India,27,BOWLER,,,,,,,,Uncapped
Kunal,Rathore,20,India,20,WICKETKEEPER,,,,,,,,Uncapped
Shubham,Sharma,20,India,26,ALL-ROUNDER,,,,,,,,Uncapped
Bharat,Sharma,20,India,23,WICKETKEEPER,,,,,,,,Uncapped
Ashok,Sharma,20,India,20,BOWLER,,,,,,,,Uncapped
Himanshu,Sharma,20,India,24,BOWLER,,,,,,,,Uncapped
Ravi,Sharma,20,India,26,BOWLER,,,,,,,,Uncapped
Arisht,Singhvi,20,India,30,ALL-ROUNDER,,,,,,,,Uncapped
Suraj,Ahuja,20,India,23,WICKETKEEPER,,,,,,,,Uncapped
Susheel,Bhagwana Ram,20,India,26,BOWLER,,,,,,,,Uncapped
Shivam,Chaudhary,20,India,25,ALL-ROUNDER,,,,,,,,Uncapped
Pranesh ,Desai ,20,India,36,BOWLER,,,,,,,,Uncapped
Abhishek,Gopal,20,India,28,BOWLER,,,,,,,,Uncapped
Sunil,Kumar,20,India,25,ALL-ROUNDER,,,,,,,,Uncapped
Varun,Lal,20,India,26,ALL-ROUNDER,,,,,,,,Uncapped
Mohammad Saif,Mohammad,20,India,26,BATSMAN,,,,,,,,Uncapped
Abhishek,Pandey,20,India,23,BATSMAN,,,,,,,,Uncapped
Ananta,Saha,20,India,26,BOWLER,,,,,,,,Uncapped
Himanshu,Sangwan,20,India,27,BOWLER,,,,,,,,Uncapped
Ashutosh,Sharma,20,India,24,ALL-ROUNDER,,,,,,,,Uncapped
Rahul,Sharma,20,India,32,BOWLER,,,,,,,,Uncapped
Vivek,Singh,20,India,29,WICKETKEEPER,,,,,,,,Uncapped
Adarsh,Singh,20,India,24,BOWLER,,,,,,,,Uncapped
Yuvraj,Singh,20,India,24,ALL-ROUNDER,,,,,,,,Uncapped
Ankush,Singh,20,India,24,ALL-ROUNDER,,,,,,,,Uncapped
Dhrushant,Soni,20,India,27,ALL-ROUNDER,,,,,,,,Uncapped
Pradeep,Thippeswamy,20,India,28,ALL-ROUNDER,,,,,,,,Uncapped
Harsh,Tyagi,20,India,23,ALL-ROUNDER,,,,,,,,Uncapped
Upendra Singh,Yadav,20,India,26,WICKETKEEPER,,,,,,,,Uncapped
Parth,Bhut,20,India,25,ALL-ROUNDER,,,,,,,,Uncapped
Parth,Chauhan,20,India,27,BATSMAN,,,,,,,,Uncapped
Yuvraj,Chudasama,20,India,27,BOWLER,,,,,,,,Uncapped
Harvik ,Desai,20,India,23,WICKETKEEPER,,,,,,,,Uncapped
Tarang,Gohel,20,India,23,BATSMAN,,,,,,,,Uncapped
Jay ,Gohil,20,India,22,BATSMAN,,,,,,,,Uncapped
Vishvarajsinh,Jadeja,20,India,24,BATSMAN,,,,,,,,Uncapped
Dharmendrasinh,Jadeja,20,India,32,BOWLER,,,,,,,,Uncapped
Viharsinh ,Jadeja,20,India,27,ALL-ROUNDER,,,,,,,,Uncapped
Chirag,Jani,20,India,33,ALL-ROUNDER,,,,,,,,Uncapped
Devang,Karamta,20,India,25,BOWLER,,,,,,,,Uncapped
Raxit ,Mehta ,20,India,19,ALL-ROUNDER,,,,,,,,Uncapped
Kushang,Patel,20,India,31,BOWLER,,,,,,,,Uncapped
Smit,Patel,20,India,22,BOWLER,,,,,,,,Uncapped
Siddhant,Rana,20,India,22,ALL-ROUNDER,,,,,,,,Uncapped
Pranav,Savjani,20,India,23,BOWLER,,,,,,,,Uncapped
Arpit,Vasavada,20,India,34,ALL-ROUNDER,,,,,,,,Uncapped
Samarth ,Vyas,20,India,27,ALL-ROUNDER,,,,,,,,Uncapped
Lee Yong,Lepcha,20,India,31,BOWLER,,,,,,,,Uncapped
Ankur,Malik,30,India,19,ALL-ROUNDER,,,,,,,,Uncapped
Sumit,Singh,20,India,35,ALL-ROUNDER,,,,,,,,Uncapped
Ravi,Chauhan,20,India,29,ALL-ROUNDER,,,,,,,,Uncapped
Rahul,Gahlaut,20,India,27,BATSMAN,,,,,,,,Uncapped
Arpit,Guleria,20,India,25,BOWLER,,,,,,,,Uncapped
Anshul,Gupta,20,India,33,ALL-ROUNDER,,,,,,,,Uncapped
Pulkit,Narang,20,India,28,ALL-ROUNDER,,,,,,,,Uncapped
Amit,Pachhara,20,India,27,ALL-ROUNDER,,,,,,,,Uncapped
Mohit,Rathee,20,India,24,ALL-ROUNDER,,,,,,,,Uncapped
Shubham Singh,Rohilla,20,India,25,ALL-ROUNDER,,,,,,,,Uncapped
Gaurav,Sharma,20,India,28,ALL-ROUNDER,,,,,,,,Uncapped
Arjun,Sharma,20,India,26,ALL-ROUNDER,,,,,,,,Uncapped
Rahul,Singh,20,India,30,BOWLER,,,,,,,,Uncapped
Nitin,Tanwar,20,India,26,ALL-ROUNDER,,,,,,,,Uncapped
Nitin,Yadav,20,India,30,BOWLER,,,,,,,,Uncapped
Amit,Ali,20,India,20,ALL-ROUNDER,,,,,,,,Uncapped
Bikram Kumar,Das,20,India,23,BATSMAN,,,,,,,,Uncapped
Rajat,Dey,20,India,26,ALL-ROUNDER,,,,,,,,Uncapped
Mani Sankar,Mura Singh,20,India,30,ALL-ROUNDER,,,,,,,,Uncapped
Chiranjit,Paul,20,India,26,ALL-ROUNDER,,,,,,,,Uncapped
Ajay,Sarkar,20,India,26,BOWLER,,,,,,,,Uncapped
Debaprasad,Singha,20,India,26,ALL-ROUNDER,,,,,,,,Uncapped
Ganga Sridhar , Raju,20,India,29,ALL-ROUNDER,,,,,,,,Uncapped
S.Ajith , Ram,20,India,24,BOWLER,,,,,,,,Uncapped
R.S.Jaganath, Sinivas,20,India,24,ALL-ROUNDER,,,,,,,,Uncapped
M.,Abhinav,20,India,28,ALL-ROUNDER,,,,,,,,Uncapped
R.,Alexandar,20,India,27,BOWLER,,,,,,,,Uncapped
M.E. Yazh,Arunmozhi,20,India,23,ALL-ROUNDER,,,,,,,,Uncapped
V,Athisayaraj,20,India,30,BOWLER,,,,,,,,Uncapped
Sachin,Balasubramaniam,20,India,19,ALL-ROUNDER,,,,,,,,Uncapped
Aaditya,Balasubramanian,20,India,20,BOWLER,,,,,,,,Uncapped
N.S.,Chaturved,20,India,32,ALL-ROUNDER,,,,,,,,Uncapped
Aswin,Crist,20,India,28,ALL-ROUNDER,,,,,,,,Uncapped
Antony,Dhas,20,India,34,ALL-ROUNDER,,,,,,,,Uncapped
Kaushik Mohan,Gandhi,20,India,33,BATSMAN,,,,,,,,Uncapped
V.,Gowtham ,20,India,20,BOWLER,,,,,,,,Uncapped
Ajitesh,Guruswamy,20,India,20,WICKETKEEPER,,,,,,,,Uncapped
R.K.Mokit,Hariharan,20,India,22,ALL-ROUNDER,,,,,,,,Uncapped
Kousik,Jagatheesan,20,India,27,ALL-ROUNDER,,,,,,,,Uncapped
Affan,Khader,20,India,27,ALL-ROUNDER,,,,,,,,Uncapped
Ajay,Krishnan,20,India,26,BOWLER,,,,,,,,Uncapped
Suresh,Kumar,20,India,32,WICKETKEEPER,,,,,,,,Uncapped
Kishan,Kumar,20,India,23,ALL-ROUNDER,,,,,,,,Uncapped
