player_id,canonical_name,aliases
P0872,Y Nagar,Y Nagar
P0873,Y Venugopal Rao,Y Venugopal Rao
P0874,YBK Jaiswal,YBK Jaiswal
P0875,YK Pathan,YK Pathan|Yusuf Pathan
P0876,YS Chahal,YS Chahal
P0877,Yogesh Takawale,YV Takawale|Yogesh Takawale
P0878,Yash Dayal,Yash Dayal
P0879,Yash Dhull,Yash Dhull
P0880,Yash Raj Punja,Yash Raj Punja
P0881,Yash Thakur,Yash Thakur
P0882,Yashasvi Jaiswal,Yashasvi Jaiswal
P0883,Yo Mahesh,Yo Mahesh
P0884,Yogesh Gowalkar,Yogesh Gowalkar
P0885,Yudhvir Charak,Yudhvir Charak
P0886,Yudhvir Singh,Yudhvir Singh
P0887,Yusuf Abdulla,Yusuf Abdulla
P0888,Yuvraj Singh,Yuvraj Singh
P0889,Yuzvendra Singh Chahal,Yuzvendra Chahal|Yuzvendra Singh Chahal
P0890,Zaheer Khan,Z Khan|Zaheer Khan
P0891,Zahir Khan Pakteen,Zahir Khan Pakteen
P0892,Zak Foulkes,Zak Foulkes
