Rank,Player,Year,Team,Price (Cr),Prior WAR,Predicted (Cr),Premium %,Next WAR,Shortfall,Dud Score
99,Shimron Hetmyer,2022,RR,9.363636363636363,10.707152692778456,7.487269307545192,25.060766202175845,9.34765625,1.3594964427784557,56.22489959839358
100,Murali Kartik,2011,PWI,3.4624003984063747,12.122964348591545,5.033827292779693,-31.217338279112322,6.875218408693109,5.247745939898436,55.82329317269076
101,Bhuvneshwar Kumar,2014,SRH,6.818535825545171,12.476817219477764,8.156012172211936,-16.398655598181108,8.085047134171013,4.391770085306751,55.82329317269076
102,Daniel Christian,2018,DC,2.0369149637442323,12.017468579807286,7.976892909260389,-74.46480745178897,-2.4821442732281116,14.499612853035398,55.22088353413655
103,Quinton De Kock,2022,LSG,7.435828877005347,3.787201652386777,5.358434091082092,38.76869157317081,3.79296875,-0.005767097613222916,55.02008032128514
104,Shreyas Iyer,2022,KKR,13.494652406417112,-1.244316095471234,2.6378491815333964,411.57786051182035,7.178228900255753,-8.422544995726987,55.020080321285135
105,Shardul Thakur,2018,CSK,3.5306526038233357,4.620761590559976,3.502581706391018,0.8014344784904806,2.1311113675260147,2.489650223033961,54.41767068273093
106,Yuzvendra Singh Chahal,2018,RCB,8.14765985497693,5.271878229297581,3.6145861550743037,125.41058659063671,9.224764665238844,-3.952886435941263,53.81526104417671
107,Shikhar Dhawan,2018,SRH,7.061305207646671,10.191901445328874,4.585168642373707,54.003173239688905,11.08516652960526,-0.8932650842763863,53.614457831325296
108,Mohammed Siraj,2018,RCB,3.5306526038233357,-0.2697727272727306,2.7650988825620746,27.68630540083678,-0.6151384513453011,0.3453657240725705,53.614457831325296
109,Amit Mishra,2015,DC,5.344699777613047,-0.4068768081002948,1.555380379701063,243.6265396790124,7.315906411974752,-7.722783220075047,53.4136546184739
110,Pat Cummins,2024,SH,20.5,1.5032414698579384,2.7170037012742054,654.5076214061108,12.870737044430609,-11.36749557457267,53.01204819277109
111,Pawan Negi,2016,DC,12.365819209039548,5.485568116239499,2.067995121848162,497.96172043134453,15.522425289764003,-10.036857173524504,52.610441767068274
112,Travis Head,2024,SH,6.8,3.62496910347717,3.0104836043174026,125.8773304809887,8.455882352941174,-4.830913249464004,52.610441767068274
113,Ravichandran Ashwin,2011,CSK,7.848107569721115,16.214090008802813,6.134684005563204,27.930103043679228,16.366262870264794,-0.15217286146198106,52.20883534136546
114,Nicholas Pooran,2023,LSG,16.713995943204868,9.8103813559322,4.059757187861743,311.69939899799914,18.926023017902807,-9.115641661970606,52.00803212851405
115,Nitish Rana,2022,KKR,8.81283422459893,6.977808204797943,3.925318252639598,124.51260400790942,11.832532147129188,-4.854723942331245,51.80722891566265
116,Varun Aaron,2014,RCB,3.2087227414330215,-1.2656297929096758,2.6351326161852304,21.767030688503,-1.2740548252659392,0.008425032356263351,51.80722891566265
117,Krunal Pandya,2022,LSG,9.088235294117649,5.425256650059467,3.641487194613117,149.57482502099563,11.560361842105266,-6.135105192045799,51.606425702811244
118,Brendon McCullum,2011,KTK,4.385707171314741,0.7733714788732389,4.631930249275852,-5.31577689451617,-0.6319767441860478,1.4053482230592866,51.40562248995984
119,Gautam Gambhir,2011,KKR,19.389442231075694,8.938776408450703,4.315645250848171,349.28257778521095,18.80664451827242,-9.867868109821718,51.00401606425702
120,Shivam Dube,2021,RR,4.700513405590416,2.786548018144007,1.8150271225586152,158.97758480678658,9.571703083424886,-6.785155065280879,50.80321285140562
121,Murali Vijay,2015,PBK,4.581171237954041,0.1118761791958422,1.59487967828871,187.24243592278958,7.969793734652817,-7.857917555456975,50.602409638554214
122,Tom Curran,2024,RCB,1.5,4.207345245215315,3.0964448796646504,-51.55734856283144,-0.2743896678179265,4.481734913033241,50.200803212851405
123,Ryan Harris,2011,PBK,3.0007470119521913,7.744118617957747,6.488047860372694,-53.74961657912587,3.0686764971696165,4.67544212078813,50.200803212851405
124,Kieron Pollard,2018,MI,7.3328938694792365,9.74069648093842,7.145498628302416,2.62256353159976,9.41807154605263,0.32262493488578947,50.0
125,Glenn Maxwell,2020,PBK,13.3003003003003,7.173242876616861,3.5738217195115025,272.1590315400033,17.058313420917177,-9.885070544300316,49.799196787148595
126,Harpreet Brar,2022,PBK,4.186096256684492,7.314267443707528,3.989687621569805,4.9229075994026665,7.223183313397136,0.09108413031039131,49.79919678714859
127,Johan Botha,2011,RR,8.309760956175298,4.247506301433499,5.4790096891600735,51.66538165858173,6.482104850427067,-2.234598548993568,49.59839357429719
128,David Warner,2011,DC,6.924800796812749,12.788952464788732,8.280016426453358,-16.367306051602824,11.380232558139532,1.4087199066491998,49.59839357429719
129,Jonny Bairstow,2022,PBK,7.435828877005347,8.136145960832312,6.612180893178163,12.456525269551356,8.332944373401531,-0.19679841256921904,49.59839357429719
130,Ashok Dinda,2011,DC,3.2315737051792826,7.453565140845068,4.016645211479963,-19.54545310740589,5.400065693858405,2.053499446986663,49.39759036144578
131,Jaydev Unadkat,2020,RR,3.711711711711712,-4.864554013126971,1.253853848699063,196.02427073640214,3.65948838686956,-8.524042399996532,49.39759036144578
132,Sanju Samson,2016,DC,6.110169491525423,2.950843253968255,1.8295004722884405,233.98020848185323,12.5767569124424,-9.625913658474145,49.19678714859438
133,Glenn Maxwell,2021,RCB,16.45179691956646,1.2530261093764867,2.6843362456530913,512.8813760276065,21.510699589130688,-20.257673479754203,49.196787148594375
134,RP Singh,2011,KTK,4.616533864541832,0.4673965669014071,2.865415875410538,61.11217586802844,4.07683783926649,-3.6094412723650833,47.99196787148595
135,Muttiah Muralitharan,2012,RCB,2.06,1.74805682019095,2.749350887020167,-25.073223293346413,0.4038461538461497,1.3442106663448004,47.389558232931726
136,Umesh Yadav,2011,DC,6.463147410358565,4.354885563380279,3.457850098316358,86.91230754929195,9.539268420957807,-5.184382857577528,47.18875502008032
137,Trent Boult,2022,RR,8.81283422459893,4.370690575521665,5.511735185224397,59.89219235757126,8.0823302930622,-3.7116397175405345,47.18875502008032
138,Prasidh Krishna,2022,RR,11.016042780748664,-0.1532088953550035,2.7807243787876335,296.15730580071164,15.151889296933746,-15.30509819228875,46.98795180722892
