Rank,Player,Year,Team,Price (Cr),Prior WAR,Predicted (Cr),Premium %,Next WAR,Shortfall,Dud Score
240,Rahul Tripathi,2020,KKR,0.7423423423423423,0.7634662828947363,1.6459179082578586,-54.897972820036735,13.221656976744184,-12.458190693849447,12.650602409638553
241,Harshal Patel,2014,RCB,0.6417445482866043,-0.3789155479787371,2.7505477857536618,-76.66848212525188,8.366415527355374,-8.74533107533411,12.248995983935743
242,Sandeep Sharma,2022,PBK,0.5508021390374331,0.1668737486116189,2.82408740870426,-80.49627864421694,8.661688845693789,-8.494815097082169,12.048192771084338
243,Moises Henriques,2014,SRH,1.6043613707165107,5.045245971536106,5.694436441091756,-71.82580950172274,15.049001392161069,-10.003755420624962,11.44578313253012
244,Dwayne Bravo,2011,CSK,1.846613545816733,2.9569212147887294,5.147614467292115,-64.12680946581966,16.69999466945788,-13.743073454669151,10.441767068273093
245,Akash Singh,2024,SH,0.2,3.901442882775129,1.9155369266660942,-89.55906319445947,12.496588125980876,-8.595145243205748,10.240963855421686
246,Kuldip Yadav,2024,UN-,0.2,12.446359150717704,2.8952929567386216,-93.09223615750136,20.56570883120736,-8.119349680489655,9.236947791164658
247,Imran Tahir,2018,CSK,1.3579433091628217,7.202224898757149,6.320288358837135,-78.51453553912422,20.503934998657,-13.301710099899854,7.228915662650602
248,Ashok Sharma,2024,UN-,0.2,4.969011662679426,2.016992663189846,-90.08424752107413,17.813469927150543,-12.844458264471116,5.622489959839357
249,Ansh Patel,2022,PBK,0.2203208556149732,9.223554946570482,4.375470020281003,-94.96463569413683,21.554754784688996,-12.331199838118513,3.4136546184738954
