player_name,first_year,last_year,appearances,first_team,estimated_price_lakh
Tajinder Singh,2021,2021,1,-,
Vishnu Solanki,2021,2021,1,-,
YBK Jaiswal,2021,2023,2,RR,
A Manohar,2023,2023,1,GT,
A Nortje,2023,2023,1,DC,
AS Joseph,2023,2023,1,GT,
AS Roy,2023,2023,1,KKR,
DJ Willey,2023,2023,1,RCB,
DP Conway,2023,2023,1,CSK,
JM Sharma,2023,2023,1,PBKS,
K Kartikeya,2023,2023,1,MI,
M Pathirana,2023,2023,1,Unknown,
M Shahrukh Khan,2023,2023,1,PBKS,
MJ Santner,2023,2023,1,CSK,
MR Marsh,2023,2023,1,DC,
PBB Rajapaksa,2023,2023,1,PBKS,
PWH de Silva,2023,2023,1,RCB,
R Powell,2023,2023,1,DC,
RP Meredith,2023,2023,1,MI,
RV Patel,2023,2023,1,DC,
SS Prabhudessai,2023,2023,1,RCB,
T Stubbs,2023,2023,1,MI,
VR Iyer,2023,2023,1,KKR,
