match_number,team1,team2,match_date,toss_winner,toss_decision,result,eliminator,winner,player_of_match,venue,city,team1_players,team2_players,match_type,gender,event_name
682965,India,Sri Lanka,2014-04-06,Sri Lanka,field,Win,NA,Sri Lanka,KC Sangakkara,Shere Bangla National Stadium,Mirpur,"RG Sharma, AM Rahane, V Kohli, Yuvraj Singh, MS Dhoni, SK Raina, R Ashwin, RA Jadeja, A Mishra, B Kumar, MM Sharma","MDKJ Perera, TM Dilshan, DPMD Jayawardene, KC Sangakkara, HDRL Thirimanne, NLTC Perera, AD Mathews, KMDN Kulasekara, SMSM Senanayake, HMRKB Herath, SL Malinga",T20,male,World T20
868723,Pakistan,Zimbabwe,2015-05-22,Zimbabwe,bat,Win,NA,Pakistan,Mukhtar Ahmed,Gaddafi Stadium,Lahore,"Mukhtar Ahmed, Ahmed Shehzad, Mohammad Hafeez, Shoaib Malik, Umar Akmal, Sarfraz Ahmed, Shahid Afridi, Anwar Ali, Bilawal Bhatti, Mohammad Sami, Wahab Riaz","H Masakadza, V Sibanda, CK Coventry, E Chigumbura, SC Williams, Sikandar Raza, R Mutumbami, AG Cremer, T Panyangara, CB Mpofu, BV Vitori",T20,male,Zimbabwe in Pakistan T20I Series
533287,Australia,India,2012-09-28,India,bat,Win,NA,Australia,SR Watson,R Premadasa Stadium,Colombo,"SR Watson, DA Warner, GJ Maxwell, MEK Hussey, CL White, GJ Bailey, MS Wade, DT Christian, GB Hogg, PJ Cummins, MA Starc","G Gambhir, IK Pathan, V Kohli, Yuvraj Singh, RG Sharma, SK Raina, MS Dhoni, R Ashwin, Harbhajan Singh, PP Chawla, Z Khan",T20,male,ICC World Twenty20
1299596,Ireland,Nepal,2022-02-14,Nepal,field,Win,NA,Ireland,DS Airee,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,"PR Stirling, A Balbirnie, GJ Delany, C Campher, SC Getkate, L Tucker, Simi Singh, GH Dockrell, MR Adair, AR McBrine, BJ McCarthy","K Bhurtel, Aasif Sheikh, Lokesh Bam, DS Airee, G Malla, S Vesawkar, Kushal Malla, KS Airee, S Lamichhane, A Bohara, JK Mukhiya",T20,male,Oman Quadrangular T20I Series
1439893,Bangladesh,India,2024-10-06,India,field,Win,NA,India,Arshdeep Singh,"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",Gwalior,"Parvez Hossain Emon, Liton Das, Nazmul Hossain Shanto, Towhid Hridoy, Mahmudullah, Jaker Ali, Mehedi Hasan Miraz, Rishad Hossain, Taskin Ahmed, Shoriful Islam, Mustafizur Rahman","SV Samson, Abhishek Sharma, SA Yadav, Nithish Kumar Reddy, HH Pandya, R Parag, RK Singh, Washington Sundar, CV Varun, Arshdeep Singh, MP Yadav",T20,male,Bangladesh tour of India
546410,Canada,Netherlands,2012-03-13,Netherlands,bat,Win,NA,Netherlands,Mudassar Bukhari,Dubai International Cricket Stadium,,"H Patel, R Gunasekera, Raza-ur-Rehman, Rizwan Cheema, NR Kumar, AS Hansra, HS Baidwan, RA Bhatti, Junaid Siddiqui, H Osinde, Zahid Hussain","SJ Myburgh, MR Swart, TLW Cooper, AN Kervezee, W Barresi, PW Borren, Mudassar Bukhari, TN de Grooth, T van der Gugten, Ahsan Malik, PM Seelaar",T20,male,ICC World Twenty20 Qualifier
255954,South Africa,India,2006-12-01,South Africa,bat,Win,NA,India,KD Karthik,New Wanderers Stadium,Johannesburg,"GC Smith, LE Bosman, HH Gibbs, JM Kemp, AB de Villiers, JA Morkel, JJ van der Wath, RJ Peterson, T Henderson, R Telemachus, CK Langeveldt","V Sehwag, SR Tendulkar, D Mongia, MS Dhoni, KD Karthik, SK Raina, IK Pathan, Harbhajan Singh, Z Khan, AB Agarkar, S Sreesanth",T20,male,
1491738,South Africa,New Zealand,2026-03-22,South Africa,bat,Win,NA,South Africa,C Esterhuizen,"Sky Stadium, Wellington",Wellington,"PWA Mulder, T de Zorzi, C Esterhuizen, RA Herman, D Forrester, JF Smith, GF Linde, G Coetzee, KA Maharaj, P Subrayen, OEG Baartman","TB Robinson, KD Clarke, D Cleaver, NF Kelly, BJ Jacobs, JDS Neesham, CE McConchie, JA Clarkson, ZGF Foulkes, KA Jamieson, BV Sears",T20,male,South Africa tour of New Zealand
1512770,West Indies,India,2026-03-01,India,field,Win,NA,India,SV Samson,"Eden Gardens, Kolkata",Kolkata,"SD Hope, RL Chase, SO Hetmyer, SE Rutherford, R Powell, JO Holder, R Shepherd, MW Forde, G Motie, AJ Hosein, S Joseph","Abhishek Sharma, SV Samson, Ishan Kishan, SA Yadav, Tilak Varma, HH Pandya, S Dube, AR Patel, Arshdeep Singh, CV Varun, JJ Bumrah",T20,male,ICC Men's T20 World Cup
573027,Australia,West Indies,2013-02-13,West Indies,bat,Win,NA,West Indies,KA Pollard,"Brisbane Cricket Ground, Woolloongabba",Brisbane,"AJ Finch, SE Marsh, AC Voges, GJ Bailey, BJ Rohrer, BJ Haddin, JP Faulkner, BCJ Cutting, NM Coulter-Nile, CJ McKay, JR Hazlewood","CH Gayle, J Charles, DM Bravo, KA Pollard, DJ Bravo, AD Russell, DJG Sammy, N Deonarine, DC Thomas, SP Narine, TL Best",T20,male,
