match_number,team1,team2,match_date,toss_winner,toss_decision,result,eliminator,winner,player_of_match,venue,city,team1_players,team2_players,match_type,gender,event_name
1442989,India,Sri Lanka,2024-07-30,Sri Lanka,field,No Result,NA,,Washington Sundar,Pallekele International Cricket Stadium,Kandy,"YBK Jaiswal, Shubman Gill, SV Samson, RK Singh, SA Yadav, S Dube, R Parag, Washington Sundar, Ravi Bishnoi, Mohammed Siraj, KK Ahmed","P Nissanka, BKG Mendis, MDKJ Perera, PWH de Silva, KIC Asalanka, RTM Mendis, PHKD Mendis, C Wickramasinghe, M Theekshana, AM Fernando, M Pathirana",T20,male,India tour of Sri Lanka
1339605,West Indies,South Africa,2023-03-26,South Africa,field,Win,NA,South Africa,Q de Kock,"SuperSport Park, Centurion",Centurion,"BA King, KR Mayers, J Charles, N Pooran, R Powell, R Shepherd, OF Smith, RA Reifer, JO Holder, AJ Hosein, SS Cottrell","Q de Kock, RR Hendricks, RR Rossouw, DA Miller, AK Markram, H Klaasen, M Jansen, WD Parnell, SSB Magala, K Rabada, T Shamsi",T20,male,West Indies tour of South Africa
1478898,Australia,South Africa,2025-08-10,South Africa,field,Win,NA,Australia,TH David,"Marrara Stadium, Darwin",Darwin,"MR Marsh, TM Head, JP Inglis, C Green, TH David, MJ Owen, GJ Maxwell, BJ Dwarshuis, NT Ellis, A Zampa, JR Hazlewood","AK Markram, RD Rickelton, LG Pretorius, D Brevis, T Stubbs, GF Linde, C Bosch, S Muthusamy, K Rabada, KT Maphaka, L Ngidi",T20,male,South Africa tour of Australia
356009,Ireland,Sri Lanka,2009-06-14,Sri Lanka,bat,Win,NA,Sri Lanka,DPMD Jayawardene,Lord's,London,"WTS Porterfield, NJ O'Brien, AR White, KJ O'Brien, JF Mooney, DT Johnston, AC Botha, AR Cusack, RM West, WK McCallan, WB Rankin","TM Dilshan, ST Jayasuriya, KC Sangakkara, DPMD Jayawardene, LPC Silva, J Mubarak, AD Mathews, KMDN Kulasekara, M Muralitharan, SL Malinga, BAW Mendis",T20,male,ICC World Twenty20
1072317,England,Australia,2018-02-07,Australia,field,Win,NA,Australia,GJ Maxwell,Bellerive Oval,Hobart,"JJ Roy, AD Hales, DJ Malan, EJG Morgan, JC Buttler, SW Billings, DJ Willey, CJ Jordan, AU Rashid, TK Curran, MA Wood","DA Warner, DJM Short, CA Lynn, GJ Maxwell, MP Stoinis, TM Head, AT Carey, AC Agar, AJ Tye, KW Richardson, B Stanlake",T20,male,Trans-Tasman Twenty20 Trophy
533283,Bangladesh,Pakistan,2012-09-25,Bangladesh,bat,Win,NA,Pakistan,Imran Nazir,Pallekele International Cricket Stadium,,"Tamim Iqbal, Mohammad Ashraful, Shakib Al Hasan, Mushfiqur Rahim, Mahmudullah, Nasir Hossain, Ziaur Rahman, Abul Hasan, Mashrafe Mortaza, Abdur Razzak, Shafiul Islam","Mohammad Hafeez, Imran Nazir, Nasir Jamshed, Kamran Akmal, Shoaib Malik, Umar Akmal, Shahid Afridi, Yasir Arafat, Sohail Tanvir, Umar Gul, Saeed Ajmal",T20,male,ICC World Twenty20
1262759,India,Sri Lanka,2021-07-28,Sri Lanka,field,Win,NA,Sri Lanka,DM de Silva,"R Premadasa Stadium, Colombo",Colombo,"RD Gaikwad, S Dhawan, D Padikkal, SV Samson, N Rana, B Kumar, Navdeep Saini, Kuldeep Yadav, RD Chahar, C Sakariya, CV Varun","WIA Fernando, M Bhanuka, S Samarawickrama, MD Shanaka, DM de Silva, PWH de Silva, RTM Mendis, C Karunaratne, I Udana, A Dananjaya, PVD Chameera",T20,male,India tour of Sri Lanka
1428156,Ireland,Netherlands,2024-05-24,Netherlands,field,Win,NA,Ireland,GH Dockrell,"Sportpark Westvliet, The Hague",The Hague,"A Balbirnie, PR Stirling, L Tucker, HT Tector, C Campher, GH Dockrell, GJ Delany, MR Adair, BJ McCarthy, CA Young, B White","M Levitt, MP O'Dowd, Vikramjit Singh, SA Edwards, BFW de Leede, W Barresi, LV van Beek, TJG Pringle, SA Engelbrecht, PA van Meekeren, VJ Kingma",T20,male,Netherlands Tri-Nation T20I Series
682961,Sri Lanka,West Indies,2014-04-03,Sri Lanka,bat,Win,NA,Sri Lanka,AD Mathews,Shere Bangla National Stadium,Mirpur,"MDKJ Perera, TM Dilshan, DPMD Jayawardene, KC Sangakkara, HDRL Thirimanne, AD Mathews, S Prasanna, KMDN Kulasekara, SMSM Senanayake, HMRKB Herath, SL Malinga","DR Smith, CH Gayle, LMP Simmons, MN Samuels, DJ Bravo, DJG Sammy, D Ramdin, AD Russell, SP Narine, S Badree, K Santokie",T20,male,World T20
1498662,Netherlands,Bangladesh,2025-08-30,Bangladesh,field,Win,NA,Bangladesh,Taskin Ahmed,Sylhet International Cricket Stadium,Sylhet,"MP O'Dowd, Vikramjit Singh, AT Nidamanuru, SA Edwards, Shariz Ahmad, NRJ Croes, K Klein, TJG Pringle, A Dutt, PA van Meekeren, DT Doram","Parvez Hossain Emon, Tanzid Hasan, Liton Das, Saif Hassan, Towhid Hridoy, Jaker Ali, Mahedi Hasan, Taskin Ahmed, Mustafizur Rahman, Shoriful Islam, Rishad Hossain",T20,male,Netherlands tour of Bangladesh
1407091,Zimbabwe,Namibia,2023-11-22,Namibia,field,Win,NA,Namibia,N Davin,"Wanderers Cricket Ground, Windhoek",Windhoek,"T Marumani, NR Welch, CR Ervine, SC Williams, Sikandar Raza, RP Burl, C Madande, CT Mumba, WP Masakadza, B Muzarabani, R Ngarava","M van Lingen, N Davin, JN Frylinck, MG Erasmus, JJ Smit, JP Kotze, BM Scholtz, JN Loftie-Eaton, D Wiese, T Lungameni, ZE Green",T20,male,ICC Men's T20 World Cup Africa Region Qualifier
1273723,Netherlands,Sri Lanka,2021-10-22,Sri Lanka,field,Win,NA,Sri Lanka,CBRLS Kumara,Sharjah Cricket Stadium,Sharjah,"SJ Myburgh, MP O'Dowd, BN Cooper, CN Ackermann, BFW de Leede, SA Edwards, RE van der Merwe, PM Seelaar, FJ Klaassen, BD Glover, PA van Meekeren","P Nissanka, MDKJ Perera, KIC Asalanka, WIA Fernando, PBB Rajapaksa, MD Shanaka, C Karunaratne, PWH de Silva, PVD Chameera, M Theekshana, CBRLS Kumara",T20,male,ICC Men's T20 World Cup
546442,Ireland,Scotland,2012-03-18,Ireland,bat,Win,NA,Ireland,EC Joyce,Dubai International Cricket Stadium,,"WTS Porterfield, PR Stirling, EC Joyce, AR Cusack, KJ O'Brien, GC Wilson, JF Mooney, MC Sorensen, DT Johnston, WB Rankin, GH Dockrell","RD Berrington, CS MacLeod, PL Mommsen, KJ Coetzer, DF Watts, JH Stander, R Flannigan, CD Wallace, RM Haq, SM Sharif, MA Parker",T20,male,ICC World Twenty20 Qualifier
1489970,Nepal,West Indies,2025-09-30,West Indies,field,Win,NA,West Indies,RR Simmonds,Sharjah Cricket Stadium,Sharjah,"K Bhurtel, Kushal Malla, RK Paudel, Gulsan Jha, S Jora, Aarif Sheikh, Mohammad Aadil Alam, Lokesh Bam, Sompal Kami, Karan KC, Shahab Alam","AA Jangoo, AWJ Auguste, KR Mayers, KU Carty, K Gore, JO Holder, FA Allen, AJ Hosein, N Bidaisee, J Blades, RR Simmonds",T20,male,Nepal v West Indies T20I Series
1419826,Sri Lanka,Bangladesh,2024-03-09,Bangladesh,field,Win,NA,Sri Lanka,N Thushara,Sylhet International Cricket Stadium,Sylhet,"DM de Silva, BKG Mendis, PHKD Mendis, PWH de Silva, KIC Asalanka, AD Mathews, MD Shanaka, S Samarawickrama, M Theekshana, B Fernando, N Thushara","Liton Das, Soumya Sarkar, Nazmul Hossain Shanto, Towhid Hridoy, Mahmudullah, Jaker Ali, Mahedi Hasan, Rishad Hossain, Taskin Ahmed, Shoriful Islam, Mustafizur Rahman",T20,male,Sri Lanka tour of Bangladesh
1303313,New Zealand,Ireland,2022-07-20,Ireland,field,Win,NA,New Zealand,D Cleaver,"Civil Service Cricket Club, Stormont, Belfast",Belfast,"MJ Guptill, FH Allen, D Cleaver, GD Phillips, DJ Mitchell, JDS Neesham, MG Bracewell, MJ Santner, IS Sodhi, LH Ferguson, JA Duffy","PR Stirling, A Balbirnie, GJ Delany, HT Tector, C Campher, L Tucker, GH Dockrell, MR Adair, BJ McCarthy, CA Young, J Little",T20,male,New Zealand tour of Ireland
1298157,India,Netherlands,2022-10-27,India,bat,Win,NA,India,SA Yadav,Sydney Cricket Ground,Sydney,"KL Rahul, RG Sharma, V Kohli, SA Yadav, AR Patel, HH Pandya, KD Karthik, R Ashwin, Mohammed Shami, B Kumar, Arshdeep Singh","Vikramjit Singh, MP O'Dowd, BFW de Leede, CN Ackermann, TLW Cooper, SA Edwards, TJG Pringle, LV van Beek, Shariz Ahmad, FJ Klaassen, PA van Meekeren",T20,male,ICC Men's T20 World Cup
1448346,England,West Indies,2025-06-06,England,bat,Win,NA,England,LA Dawson,"Riverside Ground, Chester-le-Street",Chester-le-Street,"JL Smith, BM Duckett, JC Buttler, HC Brook, T Banton, JG Bethell, WG Jacks, LA Dawson, BA Carse, AU Rashid, MJ Potts","E Lewis, J Charles, SD Hope, RL Chase, SE Rutherford, R Powell, AD Russell, G Motie, R Shepherd, JO Holder, AS Joseph",T20,male,West Indies tour of England
1322337,Pakistan,New Zealand,2022-10-11,Pakistan,bat,Win,NA,New Zealand,MG Bracewell,"Hagley Oval, Christchurch",Christchurch,"Mohammad Rizwan, Babar Azam, Shan Masood, Shadab Khan, Iftikhar Ahmed, Haider Ali, Asif Ali, Mohammad Nawaz, Mohammad Wasim, Shahnawaz Dhani, Naseem Shah","FH Allen, DP Conway, KS Williamson, GD Phillips, MS Chapman, JDS Neesham, MG Bracewell, MJ Santner, IS Sodhi, TG Southee, BM Tickner",T20,male,New Zealand T20I Tri-Series
913633,England,Sri Lanka,2016-07-05,Sri Lanka,bat,Win,NA,England,JC Buttler,The Rose Bowl,Southampton,"JJ Roy, JC Buttler, JM Vince, EJG Morgan, JM Bairstow, SW Billings, LA Dawson, LE Plunkett, AU Rashid, CJ Jordan, TS Mills","MDKJ Perera, MD Gunathilaka, BKG Mendis, AD Mathews, LD Chandimal, MD Shanaka, RLB Rambukwella, S Prasanna, MF Maharoof, KMC Bandara, N Pradeep",T20,male,
1252068,Sri Lanka,West Indies,2021-03-07,Sri Lanka,bat,Win,NA,West Indies,FA Allen,"Coolidge Cricket Ground, Antigua",Coolidge,"MD Gunathilaka, P Nissanka, N Dickwella, LD Chandimal, AD Mathews, KNA Bandara, NLTC Perera, PWH de Silva, A Dananjaya, PVD Chameera, PADLR Sandakan","LMP Simmons, E Lewis, CH Gayle, KA Pollard, N Pooran, JO Holder, R Powell, DJ Bravo, FA Allen, K Sinclair, OC McCoy",T20,male,Sri Lanka tour of West Indies
1348642,India,Sri Lanka,2023-01-07,India,bat,Win,NA,India,SA Yadav,"Saurashtra Cricket Association Stadium, Rajkot",Rajkot,"Ishan Kishan, Shubman Gill, RA Tripathi, SA Yadav, HH Pandya, DJ Hooda, AR Patel, Shivam Mavi, Umran Malik, YS Chahal, Arshdeep Singh","P Nissanka, BKG Mendis, WIA Fernando, DM de Silva, KIC Asalanka, MD Shanaka, PWH de Silva, C Karunaratne, M Theekshana, CAK Rajitha, D Madushanka",T20,male,Sri Lanka tour of India
1298141,Scotland,Ireland,2022-10-19,Scotland,bat,Win,NA,Ireland,C Campher,"Bellerive Oval, Hobart",Hobart,"HG Munsey, MA Jones, MH Cross, RD Berrington, MA Leask, CS MacLeod, CN Greaves, MRJ Watt, JH Davey, SM Sharif, BTJ Wheal","PR Stirling, A Balbirnie, L Tucker, HT Tector, C Campher, GH Dockrell, GJ Delany, MR Adair, Simi Singh, BJ McCarthy, J Little",T20,male,ICC Men's T20 World Cup
1200427,Ireland,Netherlands,2019-09-18,Ireland,bat,Win,NA,Netherlands,BN Cooper,"The Village, Malahide",Dublin,"KJ O'Brien, GJ Delany, A Balbirnie, HT Tector, GC Wilson, MR Adair, L Tucker, SR Thompson, DC Delany, GH Dockrell, CA Young","TP Visee, MP O'Dowd, BN Cooper, AJ Staal, PM Seelaar, SA Edwards, PRP Boissevain, BFW de Leede, FJ Klaassen, BD Glover, S Snater",T20,male,Ireland Tri-Nation T20I Series
1388223,New Zealand,Australia,2024-02-21,New Zealand,bat,Win,NA,Australia,MR Marsh,"Sky Stadium, Wellington",Wellington,"FH Allen, DP Conway, R Ravindra, GD Phillips, MS Chapman, JA Clarkson, MJ Santner, AF Milne, IS Sodhi, TG Southee, LH Ferguson","TM Head, DA Warner, MR Marsh, GJ Maxwell, JP Inglis, TH David, MW Short, PJ Cummins, MA Starc, A Zampa, JR Hazlewood",T20,male,Australia tour of New Zealand
951339,England,South Africa,2016-03-18,England,field,Win,NA,England,JE Root,Wankhede Stadium,Mumbai,"JJ Roy, AD Hales, BA Stokes, JE Root, EJG Morgan, JC Buttler, MM Ali, CJ Jordan, DJ Willey, AU Rashid, RJW Topley","HM Amla, Q de Kock, AB de Villiers, F du Plessis, JP Duminy, DA Miller, CH Morris, KJ Abbott, DW Steyn, K Rabada, Imran Tahir",T20,male,World T20
1512734,Sri Lanka,Oman,2026-02-12,Oman,field,Win,NA,Sri Lanka,P Rathnayake,Pallekele International Cricket Stadium,Kandy,"P Nissanka, K Mishara, BKG Mendis, P Rathnayake, MD Shanaka, PHKD Mendis, DN Wellalage, MADI Hemantha, PVD Chameera, M Theekshana, M Pathirana","Aamir Kaleem, Jatinder Singh, Hammad Mirza, Mohammad Nadeem, Wasim Ali, V Shukla, J Ramanandi, Nadeem Khan, Sufyan Mehmood, Shah Faisal, Jay Odedra",T20,male,ICC Men's T20 World Cup
647247,India,Australia,2013-10-10,India,field,Win,NA,India,Yuvraj Singh,Saurashtra Cricket Association Stadium,Rajkot,"RG Sharma, S Dhawan, SK Raina, V Kohli, Yuvraj Singh, MS Dhoni, RA Jadeja, R Ashwin, B Kumar, R Vinay Kumar, I Sharma","AJ Finch, NJ Maddinson, SR Watson, GJ Bailey, GJ Maxwell, BJ Haddin, MC Henriques, NM Coulter-Nile, JP Faulkner, CJ McKay, XJ Doherty",T20,male,
1299584,Oman,Nepal,2022-02-24,Oman,bat,Win,NA,Nepal,S Lamichhane,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,"KH Prajapati, Jatinder Singh, Shoaib Khan, Zeeshan Maqsood, Mohammad Nadeem, Ayan Khan, Sandeep Goud, Naseem Khushi, Nestor Dhamba, Kaleemullah, Bilal Khan","K Bhurtel, Aasif Sheikh, Aarif Sheikh, Lokesh Bam, S Lamichhane, S Dhakal, DS Airee, G Malla, A Bohara, KS Airee, B Yadav",T20,male,ICC Men's T20 World Cup Qualifier A
412700,West Indies,Australia,2010-05-11,West Indies,bat,Win,NA,Australia,SPD Smith,"Beausejour Stadium, Gros Islet",St Lucia,"CH Gayle, S Chanderpaul, RR Sarwan, DJ Bravo, N Deonarine, D Ramdin, KA Pollard, DJG Sammy, JE Taylor, NO Miller, SJ Benn","DA Warner, SR Watson, MJ Clarke, BJ Haddin, DJ Hussey, CL White, MEK Hussey, SPD Smith, MG Johnson, SW Tait, DP Nannes",T20,male,ICC World Twenty20
1412544,Zimbabwe,Sri Lanka,2024-01-18,Sri Lanka,field,Win,NA,Sri Lanka,PWH de Silva,"R Premadasa Stadium, Colombo",Colombo,"TS Kamunhukamwe, CR Ervine, BJ Bennett, SC Williams, Sikandar Raza, T Munyonga, C Madande, LM Jongwe, WP Masakadza, R Ngarava, B Muzarabani","P Nissanka, BKG Mendis, DM de Silva, S Samarawickrama, AD Mathews, MD Shanaka, PWH de Silva, M Theekshana, PVD Chameera, D Madushanka, PHKD Mendis",T20,male,Zimbabwe tour of Sri Lanka
902649,England,Pakistan,2015-11-26,England,bat,Win,NA,England,SW Billings,Dubai International Cricket Stadium,,"JJ Roy, AD Hales, JM Vince, MM Ali, EJG Morgan, SW Billings, AU Rashid, CJ Jordan, LE Plunkett, SD Parry, RJW Topley","Rafatullah Mohmand, Sarfraz Ahmed, Mohammad Hafeez, Mohammad Rizwan, Sohaib Maqsood, Umar Akmal, Shahid Afridi, Anwar Ali, Sohail Tanvir, Wahab Riaz, Imran Khan (1)",T20,male,Pakistan v England T20I Series
1120093,India,New Zealand,2017-11-01,New Zealand,field,Win,NA,India,S Dhawan,Arun Jaitley Stadium,Delhi,"RG Sharma, S Dhawan, HH Pandya, V Kohli, MS Dhoni, SS Iyer, AR Patel, B Kumar, A Nehra, YS Chahal, JJ Bumrah","MJ Guptill, C Munro, KS Williamson, TWM Latham, TC Bruce, C de Grandhomme, HM Nicholls, MJ Santner, TG Southee, IS Sodhi, TA Boult",T20,male,New Zealand tour of India
636538,West Indies,England,2014-03-13,England,bat,Win,NA,England,CJ Jordan,"Kensington Oval, Bridgetown",Barbados,"DR Smith, J Charles, MN Samuels, LMP Simmons, DJ Bravo, AD Russell, D Ramdin, DJG Sammy, SP Narine, K Santokie, SS Cottrell","MJ Lumb, AD Hales, EJG Morgan, JC Buttler, RS Bopara, BA Stokes, MM Ali, CJ Jordan, JC Tredwell, SD Parry, JW Dernbach",T20,male,England in West Indies T20I Series
1317487,England,Australia,2022-10-12,Australia,field,Win,NA,England,DJ Malan,"Manuka Oval, Canberra",Canberra,"JC Buttler, AD Hales, DJ Malan, BA Stokes, HC Brook, MM Ali, SM Curran, CJ Jordan, DJ Willey, AU Rashid, RJW Topley","DA Warner, AJ Finch, MR Marsh, GJ Maxwell, MP Stoinis, TH David, MS Wade, PJ Cummins, MA Starc, A Zampa, JR Hazlewood",T20,male,England tour of Australia
533295,India,South Africa,2012-10-02,South Africa,field,Win,NA,India,Yuvraj Singh,R Premadasa Stadium,Colombo,"G Gambhir, V Sehwag, V Kohli, RG Sharma, Yuvraj Singh, SK Raina, MS Dhoni, IK Pathan, R Ashwin, L Balaji, Z Khan","HM Amla, JH Kallis, AB de Villiers, F du Plessis, JP Duminy, F Behardien, RJ Peterson, JA Morkel, J Botha, DW Steyn, M Morkel",T20,male,ICC World Twenty20
1512763,Pakistan,England,2026-02-24,Pakistan,bat,Win,NA,England,HC Brook,Pallekele International Cricket Stadium,Kandy,"Sahibzada Farhan, Saim Ayub, Agha Salman, Babar Azam, Fakhar Zaman, Shadab Khan, Usman Khan, Mohammad Nawaz, Shaheen Shah Afridi, Salman Mirza, Usman Tariq","PD Salt, JC Buttler, HC Brook, JG Bethell, T Banton, SM Curran, WG Jacks, J Overton, LA Dawson, JC Archer, AU Rashid",T20,male,ICC Men's T20 World Cup
875553,Ireland,Netherlands,2015-07-25,Netherlands,field,Win,NA,Netherlands,Mudassar Bukhari,"The Village, Malahide",Dublin,"WTS Porterfield, PR Stirling, A Balbirnie, GC Wilson, KJ O'Brien, JF Mooney, SR Thompson, SW Poynter, GH Dockrell, AR Cusack, CA Young","SJ Myburgh, W Barresi, BN Cooper, MR Swart, PW Borren, MP O'Dowd, RE van der Merwe, Mudassar Bukhari, PM Seelaar, T van der Gugten, PA van Meekeren",T20,male,ICC World Twenty20 Qualifier
1404392,Namibia,Zimbabwe,2023-10-27,Namibia,bat,Win,NA,Zimbabwe,Sikandar Raza,"United Cricket Club Ground, Windhoek",Windhoek,"M van Lingen, N Davin, MG Erasmus, JN Frylinck, JP Kotze, JJ Smit, ZE Green, BM Scholtz, H Klazinge, B Shikongo, T Lungameni","NR Welch, TS Kamunhukamwe, CR Ervine, Sikandar Raza, RP Burl, W Madhevere, C Madande, LM Jongwe, CT Mumba, R Ngarava, A Ndlovu",T20,male,Zimbabwe tour of Namibia
1142504,Scotland,Ireland,2018-06-17,Scotland,bat,No Result,NA,,,Sportpark Het Schootsveld,Deventer,"HG Munsey, KJ Coetzer, CS MacLeod, MA Leask, MH Cross, RD Berrington, DE Budge, SM Sharif, CB Sole, SG Whittingham, Hamza Tahir","PR Stirling, JNK Shannon, A Balbirnie, Simi Singh, GC Wilson, KJ O'Brien, SR Thompson, SW Poynter, GH Dockrell, BJ McCarthy, PKD Chase",T20,male,Netherlands Tri-Nation T20I Series
668969,Sri Lanka,New Zealand,2013-11-21,Sri Lanka,field,Win,NA,Sri Lanka,MDKJ Perera,Pallekele International Cricket Stadium,,"DPMD Jayawardene, TM Dilshan, MDKJ Perera, KC Sangakkara, AD Mathews, LD Chandimal, NLTC Perera, RLB Rambukwella, KMDN Kulasekara, SL Malinga, BAW Mendis","HD Rutherford, AP Devcich, NT Broom, TWM Latham, C Munro, L Ronchi, NL McCullum, RJ Nicol, AM Ellis, KD Mills, MJ McClenaghan",T20,male,New Zealand in Sri Lanka T20I Series
463141,South Africa,Zimbabwe,2010-10-08,Zimbabwe,bat,Win,NA,South Africa,GC Smith,OUTsurance Oval,Bloemfontein,"GC Smith, LE Bosman, CA Ingram, JP Duminy, DA Miller, R McLaren, J Botha, HG Kuhn, WD Parnell, M Morkel, J Theron","H Masakadza, BRM Taylor, CJ Chibhabha, E Chigumbura, CK Coventry, KM Dabengwa, T Taibu, P Utseya, AG Cremer, EC Rainsford, CB Mpofu",T20,male,Zimbabwe in South Africa T20I Series
1440465,Scotland,Australia,2024-09-07,Australia,field,Win,NA,Australia,C Green,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,"HG Munsey, OJ Hairs, BJ McMullen, RD Berrington, MH Cross, MA Leask, MRJ Watt, J Jarvis, CB Sole, SM Sharif, BJ Currie","TM Head, J Fraser-McGurk, MR Marsh, C Green, TH David, AM Hardie, MP Stoinis, JP Inglis, C Connolly, SA Abbott, A Zampa",T20,male,Australia tour of Scotland
426418,England,Pakistan,2010-09-07,Pakistan,bat,Win,NA,England,TT Bresnan,Sophia Gardens,Cardiff,"C Kieswetter, SM Davies, RS Bopara, PD Collingwood, EJG Morgan, MH Yardy, GP Swann, SCJ Broad, TT Bresnan, RJ Sidebottom, LJ Wright","Kamran Akmal, Shahzaib Hasan, Mohammad Yousuf, Umar Akmal, Shahid Afridi, Mohammad Hafeez, Abdul Razzaq, Fawad Alam, Umar Gul, Shoaib Akhtar, Saeed Ajmal",T20,male,Pakistan in England T20I Series
1273719,Sri Lanka,Ireland,2021-10-20,Ireland,field,Win,NA,Sri Lanka,PWH de Silva,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,"P Nissanka, MDKJ Perera, LD Chandimal, WIA Fernando, PWH de Silva, PBB Rajapaksa, MD Shanaka, C Karunaratne, PVD Chameera, M Theekshana, CBRLS Kumara","PR Stirling, KJ O'Brien, A Balbirnie, GJ Delany, C Campher, HT Tector, NA Rock, MR Adair, Simi Singh, CA Young, J Little",T20,male,ICC Men's T20 World Cup
1270836,Bangladesh,Australia,2021-08-06,Bangladesh,bat,Win,NA,Bangladesh,Mahmudullah,"Shere Bangla National Stadium, Mirpur",Dhaka,"Mohammad Naim, Soumya Sarkar, Shakib Al Hasan, Mahmudullah, Afif Hossain, Shamim Hossain, Nurul Hasan, Mahedi Hasan, Mustafizur Rahman, Shoriful Islam, Nasum Ahmed","BR McDermott, MS Wade, MR Marsh, MC Henriques, AT Carey, DT Christian, AJ Turner, AC Agar, NT Ellis, A Zampa, JR Hazlewood",T20,male,Australia tour of Bangladesh
1199545,Oman,Scotland,2019-10-31,Oman,bat,Win,NA,Scotland,MH Cross,ICC Academy,Dubai,"Khawar Ali, Jatinder Singh, Aqib Ilyas, Zeeshan Maqsood, Khurram Nawaz, Mehran Khan, Suraj Kumar, Fayyaz Butt, Mohammad Nadeem, Jay Odedra, Bilal Khan","HG Munsey, KJ Coetzer, MH Cross, CS MacLeod, RD Berrington, MA Leask, TB Sole, JH Davey, AC Evans, A Neill, MRJ Watt",T20,male,ICC Men's T20 World Cup Qualifier
446960,Australia,England,2011-01-12,Australia,bat,Win,NA,England,SR Watson,Adelaide Oval,,"DA Warner, SR Watson, DJ Hussey, CL White, AJ Finch, SPD Smith, TD Paine, MG Johnson, SNJ O'Keefe, B Lee, SW Tait","IR Bell, SM Davies, KP Pietersen, PD Collingwood, EJG Morgan, LJ Wright, TT Bresnan, MH Yardy, CR Woakes, GP Swann, A Shahzad",T20,male,England in Australia T20I Series
1031431,England,South Africa,2017-06-21,South Africa,bat,Win,NA,England,JM Bairstow,The Rose Bowl,Southampton,"JJ Roy, AD Hales, JM Bairstow, EJG Morgan, JC Buttler, SW Billings, LA Dawson, MS Crane, DJ Willey, CJ Jordan, MA Wood","JT Smuts, RR Hendricks, AB de Villiers, DA Miller, F Behardien, M Mosehle, WD Parnell, D Pretorius, AL Phehlukwayo, T Shamsi, Imran Tahir",T20,male,South Africa in England T20I Series
1203677,West Indies,Ireland,2020-01-18,West Indies,field,No Result,NA,,,"Warner Park, St Kitts",Basseterre,"LMP Simmons, E Lewis, SO Hetmyer, KA Pollard, N Pooran, SE Rutherford, DJ Bravo, HR Walsh, K Pierre, SS Cottrell, R Shepherd","PR Stirling, KJ O'Brien, A Balbirnie, GJ Delany, HT Tector, GC Wilson, GH Dockrell, Simi Singh, BJ McCarthy, J Little, CA Young",T20,male,Ireland tour of West Indies
355998,Australia,Sri Lanka,2009-06-08,Sri Lanka,field,Win,NA,Sri Lanka,KC Sangakkara,Trent Bridge,Nottingham,"SR Watson, DA Warner, RT Ponting, BJ Haddin, MJ Clarke, DJ Hussey, MEK Hussey, MG Johnson, B Lee, NM Hauritz, NW Bracken","TM Dilshan, ST Jayasuriya, KC Sangakkara, DPMD Jayawardene, LPC Silva, J Mubarak, AD Mathews, I Udana, BAW Mendis, SL Malinga, M Muralitharan",T20,male,ICC World Twenty20
958421,Bangladesh,Zimbabwe,2016-01-22,Zimbabwe,bat,Win,NA,Zimbabwe,H Masakadza,Sheikh Abu Naser Stadium,Khulna,"Tamim Iqbal, Soumya Sarkar, Sabbir Rahman, Imrul Kayes, Shakib Al Hasan, Mahmudullah, Nurul Hasan, Mashrafe Mortaza, Abu Hider, Arafat Sunny, Taskin Ahmed","V Sibanda, H Masakadza, R Mutumbami, MN Waller, Sikandar Raza, E Chigumbura, PJ Moor, LM Jongwe, TS Chisoro, N Madziva, AG Cremer",T20,male,Walton T20 Cricket Series
287875,Bangladesh,Pakistan,2007-09-20,Pakistan,field,Win,NA,Pakistan,Junaid Siddique,Newlands,Cape Town,"Tamim Iqbal, Junaid Siddique, Aftab Ahmed, Mohammad Ashraful, Shakib Al Hasan, Nadif Chowdhury, Mahmudullah, Mashrafe Mortaza, Mushfiqur Rahim, Abdur Razzak, Syed Rasel","Imran Nazir, Shahid Afridi, Mohammad Hafeez, Salman Butt, Younis Khan, Shoaib Malik, Misbah-ul-Haq, Kamran Akmal, Mohammad Asif, Umar Gul, Sohail Tanvir",T20,male,ICC World Twenty20
1119501,Australia,India,2017-10-07,India,field,Win,NA,India,Kuldeep Yadav,JSCA International Stadium Complex,Ranchi,"DA Warner, AJ Finch, GJ Maxwell, TM Head, MC Henriques, DT Christian, TD Paine, NM Coulter-Nile, AJ Tye, A Zampa, JP Behrendorff","RG Sharma, S Dhawan, V Kohli, MK Pandey, KM Jadhav, MS Dhoni, HH Pandya, B Kumar, YS Chahal, Kuldeep Yadav, JJ Bumrah",T20,male,Australia tour of India
1507721,England,Sri Lanka,2026-02-03,England,bat,Win,NA,England,SM Curran,Pallekele International Cricket Stadium,Kandy,"JC Buttler, BM Duckett, JG Bethell, T Banton, HC Brook, SM Curran, WG Jacks, LA Dawson, J Overton, AU Rashid, L Wood","P Nissanka, K Mishara, BKG Mendis, P Rathnayake, PHKD Mendis, J Liyanage, DN Wellalage, MD Shanaka, PVD Chameera, M Theekshana, M Pathirana",T20,male,England tour of Sri Lanka
