year,player,team,batting_war,bowling_war,total_war,runs,balls_faced,strike_rate,balls_bowled,overs,runs_conceded,wickets,economy
2005,GC Smith,South Africa,0.16700404858299578,-1.180947339091669,-1.0139432905086732,61.0,44.0,138.63636363636365,6.0,1.0,21.0,0.0,21.0
2005,SP Fleming,New Zealand,-1.026973684210526,0.0,-1.026973684210526,49.0,39.0,125.64102564102564,0.0,,,,
2005,M Ntini,South Africa,-0.8272267206477733,-0.26189467818333795,-1.0891213988311113,5.0,6.0,83.33333333333334,12.0,2.0,21.0,0.0,10.5
2005,ME Trescothick,England,-1.1057692307692306,0.0,-1.1057692307692306,41.0,38.0,107.89473684210526,0.0,,,,
2005,JM Kemp,South Africa,-1.133248987854251,0.0,-1.133248987854251,8.0,11.0,72.72727272727273,0.0,,,,
2005,MV Boucher,South Africa,-1.1696356275303643,0.0,-1.1696356275303643,4.0,8.0,50.0,0.0,,,,
2005,HJH Marshall,New Zealand,-1.3120445344129554,0.0,-1.3120445344129554,11.0,10.0,110.00000000000001,0.0,,,,
2005,DR Martyn,Australia,-1.59084008097166,0.0,-1.59084008097166,7.0,9.0,77.77777777777779,0.0,,,,
2005,JW Wilson,New Zealand,-0.49686234817813746,-1.1237893563666759,-1.6206517045448132,18.0,14.0,128.57142857142858,24.0,4.0,48.0,0.0,12.0
2005,AC Gilchrist,Australia,-1.78168016194332,0.0,-1.78168016194332,16.0,18.0,88.88888888888889,0.0,,,,
2005,CD McMillan,New Zealand,-2.193724696356275,0.0,-2.193724696356275,24.0,28.0,85.71428571428571,0.0,,,,
2006,ST Jayasuriya,Sri Lanka,2.982741935483871,3.1785454545454543,6.161287390029326,92.0,57.0,161.4035087719298,48.0,8.0,55.0,5.0,6.875
2006,A Symonds,Australia,2.837741935483871,1.439272727272727,4.277014662756598,54.0,26.0,207.6923076923077,24.0,4.0,26.0,2.0,6.5
2006,DR Martyn,Australia,3.3987096774193546,0.0,3.3987096774193546,113.0,68.0,166.1764705882353,0.0,,,,
2006,ML Lewis,,0.0,2.7236363636363636,2.7236363636363636,0.0,0.0,,45.0,7.5,50.0,4.0,6.666666666666667
2006,DR Smith,West Indies,-0.19419354838709674,2.666060606060606,2.471867057673509,8.0,4.0,200.0,20.0,3.3333333333333335,9.0,2.0,2.6999999999999997
2006,Z Khan,,0.0,2.4392727272727273,2.4392727272727273,0.0,0.0,,24.0,4.0,16.0,2.0,4.0
2006,B Lee,Australia,2.230483870967742,0.12945454545454532,2.3599384164222874,43.0,21.0,204.76190476190476,18.0,3.0,20.0,0.0,6.666666666666667
2006,Abdul Razzaq,Pakistan,0.9116129032258066,1.439272727272727,2.3508856304985337,17.0,8.0,212.5,24.0,4.0,32.0,3.0,8.0
2006,SE Bond,New Zealand,-0.3912903225806451,2.668727272727273,2.277436950146628,8.0,6.0,133.33333333333331,42.0,7.0,41.0,3.0,5.857142857142857
2006,JEC Franklin,New Zealand,-0.35354838709677416,2.498181818181817,2.144633431085043,34.0,32.0,106.25,60.0,10.0,64.0,3.0,6.4
2006,AB Agarkar,,0.0,1.9745454545454542,1.9745454545454542,0.0,0.0,,15.0,2.5,10.0,2.0,4.0
2006,CK Langeveldt,South Africa,-0.09854838709677419,1.939272727272727,1.8407243401759528,0.0,1.0,0.0,24.0,4.0,21.0,2.0,5.25
2006,DJ Bravo,West Indies,0.3232258064516129,1.4928484848484846,1.8160742913000976,19.0,16.0,118.75,16.0,2.6666666666666665,16.0,2.0,6.0
2006,ME Trescothick,England,1.7408064516129031,0.0,1.7408064516129031,125.0,97.0,128.8659793814433,0.0,,,,
2006,MR Gillespie,New Zealand,0.10290322580645161,1.5477575757575757,1.6506608015640274,3.0,2.0,150.0,19.0,3.1666666666666665,13.0,1.0,4.105263157894737
2006,MH Yardy,England,1.0203225806451612,0.6294545454545453,1.6497771260997065,24.0,14.0,171.42857142857142,18.0,3.0,21.0,1.0,7.0
2006,Mohammad Asif,,0.0,1.639272727272727,1.639272727272727,0.0,0.0,,24.0,4.0,24.0,2.0,6.0
2006,CRD Fernando,Sri Lanka,-0.6724193548387098,2.2079999999999997,1.53558064516129,24.0,19.0,126.3157894736842,66.0,11.0,80.0,4.0,7.2727272727272725
2006,NW Bracken,Australia,0.0043548387096774555,1.2687272727272727,1.2730821114369502,3.0,3.0,100.0,42.0,7.0,55.0,3.0,7.857142857142857
2006,M Muralitharan,,0.0,1.139272727272727,1.139272727272727,0.0,0.0,,24.0,4.0,29.0,2.0,7.25
2006,SM Katich,Australia,1.0333870967741938,0.0,1.0333870967741938,39.0,23.0,169.56521739130434,0.0,,,,
2006,JS Patel,,0.0,0.9856969696969692,0.9856969696969692,0.0,0.0,,32.0,5.333333333333333,40.0,2.0,7.5
2006,CH Gayle,West Indies,-0.8811290322580645,1.8392727272727272,0.9581436950146627,10.0,13.0,76.92307692307693,24.0,4.0,22.0,2.0,5.5
