year,player_id,player_name,team,final_price_lakh,log_price,ipl_war_lag1,ipl_war_lag2,ipl_war_lag3,ipl_career_war,ipl_seasons_played,ipl_matches_lag1,t20i_war_12m,t20i_war_24m,t20i_career_war,ipl_war_trend,ipl_war_avg_3y,is_indian,is_mega_auction,is_retained,role_batsman,role_bowler,role_allrounder,role_wk,nationality,role,status,next_season_war
2008,P0374,Harbhajan Singh,MI,175.0,5.1647859739235145,,,,,,,5.411497829790513,5.1983160116086955,5.1983160116086955,,,1,1,0,0,1,0,0,Indian,Bowler,SOLD,2.507663920343325
2008,P0390,Herschelle Gibbs,DCH,75.0,4.31748811353631,,,,,,,,,,,,0,1,0,1,0,0,0,Overseas,Batsman,SOLD,
2008,P0393,I Sharma,KKR,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,4.977239101536561
2008,P0400,Iqbal Abdulla,KKR,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,0.412673767154772
2008,P0402,Irfan Pathan,PBKS,350.0,5.857933154483459,,,,,,,,,,,,1,1,0,0,0,1,0,Indian,All-Rounder,SOLD,
2008,P0406,Ishant Sharma,KKR,550.0,6.309918278226516,,,,,,,,,,,,1,1,0,0,1,0,0,Indian,Bowler,SOLD,
2008,P0434,Jacob Oram,CSK,,,,,,,,,,,,,,0,1,1,0,0,1,0,Overseas,All-Rounder,RETAINED,
2008,P0435,Jacques Kallis,RCB,125.0,4.8283137373023015,,,,,,,,,,,,0,1,0,0,0,1,0,Overseas,All-Rounder,SOLD,
2008,P0440,James Hopes,PBKS,75.0,4.31748811353631,,,,,,,,,,,,0,1,0,0,0,1,0,Overseas,All-Rounder,SOLD,
2008,P0468,Joginder Sharma,CSK,125.0,4.8283137373023015,,,,,,,-1.08073593073593,,-1.08073593073593,,,1,1,0,0,0,1,0,Indian,All-Rounder,SOLD,-0.6794291935293943
2008,P0481,K Goel,PBKS,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,-0.8592115515633623
2008,P0540,Kumar Sangakkara,PBKS,125.0,4.8283137373023015,,,,,,,,,,,,0,1,0,0,0,0,1,Overseas,Wicket-Keeper,SOLD,
2008,P0549,L Balaji,CSK,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,0.0901744846513034
2008,P0552,L Ronchi,MI,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,0.1965605389442597
2008,P0553,LA Pomersbach,PBKS,,,,,,,,,1.0975939353988131,,1.0975939353988131,,,0,1,1,0,0,0,0,,,RETAINED,6.9589004245108885
2008,P0556,LR Shukla,KKR,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,3.680694082427662
2008,P0563,Lasith Malinga,MI,40.0,3.6888794541139363,,,,,,,,,,,,0,1,0,0,1,0,0,Overseas,Bowler,SOLD,
2008,P0574,M Kaif,RR,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,1.017489848652641
2008,P0576,M Manhas,DC,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,
2008,P0582,M Rawat,RR,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,-0.3995334994462896
2008,P0593,MF Maharoof,DC,,,,,,,,,-0.6809904773319401,-1.955565257390591,-1.955565257390591,,,0,1,1,0,0,0,0,,,RETAINED,15.465112662733985
2008,P0602,MM Patel,RR,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,8.159860332527074
2008,P0608,MS Dhoni,CSK,950.0,6.856461984594587,,,,,,,6.2706328279499015,6.024261860207966,6.024261860207966,,,1,1,0,0,0,0,1,Indian,Wicket-Keeper,SOLD,13.719200350682913
2008,P0609,MS Gony,CSK,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,11.918825525357146
2008,P0610,MV Boucher,RCB,,,,,,,,,-0.4524390243902445,0.5856658143194329,-0.12637872009352247,,,0,1,1,0,0,0,0,,,RETAINED,6.546395810262087
2008,P0613,Mahela Jayawardene,DC,525.0,6.263398262591624,,,,,,,,,,,,0,1,0,1,0,0,0,Overseas,Batsman,SOLD,
2008,P0623,Manish Pandey,MI,12.5,2.5257286443082556,,,,,,,,,,,,1,1,0,1,0,0,0,Indian,Batsman,SOLD,
2008,P0627,Manoj Tiwary,DC,,,,,,,,,,,,,,1,1,1,0,0,0,0,Indian,,RETAINED,
2008,P0610,Mark Boucher,RCB,75.0,4.31748811353631,,,,,,,,,,,,0,1,0,0,0,0,1,Overseas,Wicket-Keeper,SOLD,
2008,P0644,Matthew Hayden,CSK,125.0,4.8283137373023015,,,,,,,,,,,,0,1,0,1,0,0,0,Overseas,Batsman,SOLD,
2008,P0653,Michael Hussey,CSK,125.0,4.8283137373023015,,,,,,,,,,,,0,1,0,0,0,1,0,Overseas,All-Rounder,SOLD,
2008,P0659,Misbah-ul-Haq,RCB,50.0,3.912023005428146,,,,,,,8.953312458800262,,8.953312458800262,,,0,1,0,1,0,0,0,Overseas,Batsman,SOLD,4.84905777039498
2008,P0669,Mohammed Asif,DC,125.0,4.8283137373023015,,,,,,,,,,,,0,1,0,0,1,0,0,Overseas,Bowler,SOLD,
2008,P0672,Mohammed Kaif,RR,150.0,5.0106352940962555,,,,,,,,,,,,1,1,0,1,0,0,0,Indian,Batsman,SOLD,
2008,P0694,Munaf Patel,RR,175.0,5.1647859739235145,,,,,,,,,,,,1,1,0,0,1,0,0,Indian,Bowler,SOLD,
2008,P0695,Murali Kartik,KKR,125.0,4.8283137373023015,,,,,,,,,,,,1,1,0,0,1,0,0,Indian,Bowler,SOLD,
2008,P0702,Muttiah Muralitharan,CSK,125.0,4.8283137373023015,,,,,,,,,,,,0,1,0,0,1,0,0,Overseas,Bowler,SOLD,
2008,P0709,NK Patel,RR,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,2.979838962716869
2008,P0751,P Kumar,RCB,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,5.129820909440266
2008,P0759,PJ Sangwan,DC,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,0.2398650887874361
2008,P0764,PR Shah,MI,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,-0.2803146917681802
2008,P0768,Pankaj Singh,RR,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,-2.6212801797118033
2008,P0772,Parthiv Patel,CSK,80.0,4.382026634673881,,,,,,,,,,,,1,1,0,0,0,0,1,Indian,Wicket-Keeper,SOLD,
2008,P0784,Piyush Chawla,PBKS,175.0,5.1647859739235145,,,,,,,,,,,,1,1,0,0,1,0,0,Indian,Bowler,SOLD,
2008,P0789,Pragyan Ojha,DCH,175.0,5.1647859739235145,,,,,,,,,,,,1,1,0,0,1,0,0,Indian,Bowler,SOLD,
2008,P0798,Praveen Kumar,RCB,200.0,5.298317366548036,,,,,,,,,,,,1,1,0,0,1,0,0,Indian,Bowler,SOLD,
2008,P0821,R Bhatia,DC,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,2.17570256592808
2008,P0832,R Vinay Kumar,RCB,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,2.574745881349023
2008,P0824,RP Singh,DCH,375.0,5.926926025970411,,,,,,,7.0692450210742885,,7.0692450210742885,,,1,1,0,0,1,0,0,Indian,Bowler,SOLD,2.1715408811623833
2008,P0843,RR Powar,PBKS,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,3.385881508390046
2008,P0844,RR Raje,MI,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,0.7416618984592995
2008,P0855,Rahul Dravid,RCB,125.0,4.8283137373023015,,,,,,,,,,,,1,1,0,1,0,0,0,Indian,Batsman,SOLD,
2008,P0872,Ramesh Powar,PBKS,100.0,4.605170185988092,,,,,,,,,,,,1,1,0,0,1,0,0,Indian,Bowler,SOLD,
2008,P0884,Ravindra Jadeja,RR,175.0,5.1647859739235145,,,,,,,,,,,,1,1,0,0,0,1,0,Indian,All-Rounder,SOLD,
2008,P0889,Ricky Ponting,KKR,40.0,3.6888794541139363,,,,,,,,,,,,0,1,0,1,0,0,0,Overseas,Batsman,SOLD,
2008,P0848,Robin Uthappa,MI,300.0,5.703782474656201,,,,,,,,,,,,1,1,0,1,0,0,0,Indian,Batsman,SOLD,
2008,P0856,Rohit Sharma,DCH,148.0,4.997212273764115,,,,,,,,,,,,1,1,0,1,0,0,0,Indian,Batsman,SOLD,
2008,P0903,Ross Taylor,RCB,50.0,3.912023005428146,,,,,,,,,,,,0,1,0,1,0,0,0,Overseas,Batsman,SOLD,
2008,P0911,S Anirudha,CSK,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,-0.8287504614248801
2008,P0921,S Sohal,PBKS,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,-0.45375046142488
2008,P0922,S Sreesanth,PBKS,275.0,5.616771097666572,,,,,,,3.0783238021042907,2.3774147111951995,2.3774147111951995,,,1,1,0,0,1,0,0,Indian,Bowler,SOLD,3.6933979655017506
2008,P0923,SA Asnodkar,RR,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,10.143267349575488
2008,P0925,SB Styris,DCH,,,,,,,,,6.145835437908609,5.8507731211930665,6.798394578682945,,,0,1,1,0,0,0,0,,,RETAINED,4.486901230099674
2008,P0927,SD Chitnis,MI,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,0.2240470640754381
2008,P0930,SK Trivedi,RR,,,,,,,,,,,,,,0,1,1,0,0,0,0,,,RETAINED,2.9212306830458834
