ipl_name,cricsheet_id
Tilak Varma,b0482a1d
UV Gandhe,43dd4011
VG Arora,7c3b3b78
AM Nayar,a45a5e8d
BF Bowden,efc0a862
DJ Harper,0ec08b27
DS Kulkarni,d2a989fc
FM Engineer,6529ee42
GA Pratapkumar,cf7c5778
Joginder Sharma,9f961c14
L Ronchi,0fa5042b
MA Khote,0d232ffd
MS Gony,ae78bc32
P Amarnath,6ad3a659
RV Uthappa,1c17e270
SM Pollock,88fccd6c
ST Jayasuriya,f233bbb4
VS Yeligati,38f2c66c
BW Hilfenhaus,f3171936
GF Labrooy,8e088dbc
IC Pandey,e0407c01
JP Faulkner,808f425a
K Srinivasan,042a8b69
M Manhas,c42aaf71
PV Tambe,6aed7e79
STR Binny,bd17b45f
SV Samson,a4cc73aa
TG Southee,13c35c9e
B Sai Sudharsan,d5130a30
DL Chahar,23eeb873
JC Buttler,99b75528
M Prasidh Krishna,85e0cf10
MJ Santner,e4a0deae
Mohammed Siraj,2f49c897
Mujeeb Ur Rahman,7d92277a
Naman Dhir,fffa744b
PVSN Raju,c27b5a0e
Prakash Bhatt,f848ab0b
R Minz,bafd0398
R Sai Kishore,c7a995d3
RD Rickelton,e66732f8
SE Rutherford,d014d5ac
TM Srivastava,a76d10ba
Vinod Seshan,a3357a27
A Chopra,e249fdaa
AB Dinda,66b30f71
D Govindjee,8b4c4069
EC Hendrikse,3f2996c9
K Goel,a1f1829d
KC Sangakkara,6b71e6cf
LR Shukla,b1451597
M Kartik,abfeb126
MC Henriques,32198ae0
RS Bopara,7ca5e05d
SC Ganguly,725529bc
SD Ranade,369c85c1
T Kohli,40caa465
TH Wijewardene,6a6be119
VS Malik,5f26df4f
YA Abdulla,4353bba5
Yashpal Singh,297b26da
AB Agarkar,fa463154
CJ McKay,94eac556
DJ Jacobs,a84468fe
M Morkel,5bb5a915
MM Patel,f0f628c7
PG Pathak,9f772ec5
PP Ojha,6c6591ab
RE Levi,18c78b11
S Nadeem,9d80c5e1
SK Tarapore,62a824b4
Y Nagar,662c47a6
Abhijit Bhattacharya,59ec9638
Aniket Verma,a3b0600d
E Malinga,5750bcb4
Harsh Dubey,25228673
K Swaroopanand,aa2a4962
L Ngidi,f834dcfc
P Dharmani,eaa90ab4
PD Salt,3d284ca3
R Shepherd,c5aef772
RM Patidar,c740ea83
TH David,f1f99156
D Padikkal,2c25d4f5
DJ Mitchell,eade4650
DR Sams,caf69bf7
HR Shokeen,0c9652b0
K Kartikeya,f6d8a7ab
KR Sen,2e78f685
R Parag,04a418e8
RP Meredith,64775749
YS Chahal,57ee1fde
Aleem Dar,f02778d1
JDS Neesham,9219eff0
JP Duminy,2e8994e7
K Bharatan,7e47c743
MA Starc,3fb19989
MK Tiwary,26e5cabf
NJ Maddinson,44afbf2d
R Sharma,5d9a1a73
S Rana,90edaaa9
WD Parnell,3a60e0b5
AD Mascarenhas,3edb58fc
Anureet Singh,69be866a
BAW Mendis,ea0cdc12
GR Viswanath,9333bc07
Kamran Khan,6ef60d3a
M Erasmus,15d3c895
M Rawat,de8d3876
MR Benson,790e14d3
PC Valthaty,25eeb281
RJ Quiney,23ac69e6
SB Bangar,0604ef16
A Badoni,872b03f7
DS Rathi,13fc5c6d
M Siddharth,cf0ccafa
MP Stoinis,d9273ee7
MR Marsh,3d8feaf8
N Wadhera,d1a60072
Priyansh Arya,b5797845
Ravi Bishnoi,df064e1a
SN Thakur,1abb78f8
Suryansh Shedge,970ddd24
B Lee,dd09ff8e
EJG Morgan,d2a6c0e6
Iqbal Abdulla,85aae393
JH Kallis,86dc8f2e
KM Jadhav,99d63244
MS Bisla,5afd4539
RB Tiffin,89087a0d
RV Gomez,b2570b38
S Das,475e38b6
SS Hazare,166e5081
