player_id,canonical_name,aliases
P0145,Eoin Morgan,Eoin Morgan
P0146,Evin Lewis,Evin Lewis
P0147,Fabian Allen,Fabian Allen
P0148,Faf Du Plessis,Faf Du Plessis
P0149,Fazalhaq Farooqi,Fazalhaq Farooqi
P0150,Fidel Edwards,Fidel Edwards
P0151,Finn Allen,Finn Allen
P0152,Francois du Plessis,Francois du Plessis
P0153,G Periyaswamy,G Periyaswamy
P0154,Gahlaut Rahul Singh,Gahlaut Rahul Singh
P0155,Gautam Gambhir,Gautam Gambhir
P0156,George Bailey,George Bailey
P0157,George Linde,George Linde
P0158,Gerald Coetzee,Gerald Coetzee
P0159,Glenn Maxwell,Glenn Maxwell
P0160,Glenn McGrath,Glenn McGrath
P0161,Glenn Phillips,Glenn Phillips
P0162,Graeme Smith,Graeme Smith
P0163,Gurkeerat Singh,Gurkeerat Singh
P0164,Gurkeerat Singh Mann,Gurkeerat Singh Mann
P0165,Hanuma Vihari,Hanuma Vihari
P0166,Harbhajan Singh,Harbhajan Singh
P0167,Hardik Pandya,Hardik Pandya
P0168,Harishankar Reddy,Harishankar Reddy
P0169,Harpreet Bhatia,Harpreet Bhatia
P0170,Harpreet Brar,Harpreet Brar
P0171,Harry Brook,Harry Brook
P0172,Harsh Tyagi,Harsh Tyagi
P0173,Harshal Patel,Harshal Patel
P0174,Harshit Rana,Harshit Rana
P0175,Heinrich Klaasen,Heinrich Klaasen
P0176,Herschelle Gibbs,Herschelle Gibbs
P0177,Himanshu Rana,Himanshu Rana
P0178,Himanshu Sharma,Himanshu Sharma
P0179,Himmat Singh,Himmat Singh
P0180,Hrithik Shokeen,Hrithik Shokeen
P0181,Irfan Pathan,Irfan Pathan
P0182,Ish Sodhi,Ish Sodhi
P0183,Ishan Kishan,Ishan Kishan
P0184,Ishan Porel,Ishan Porel
P0185,Ishant Sharma,Ishant Sharma
P0186,Isuru Udana,Isuru Udana
P0187,JP Duminy,JP Duminy
P0188,Jack Edwards,Jack Edwards
P0189,Jack Wildermuth,Jack Wildermuth
P0190,Jacob Duffy,Jacob Duffy
P0191,Jacques Kallis,Jacques Kallis
P0192,Jagadeesha Suchith,Jagadeesha Suchith
P0193,Jalaj Saxena,Jalaj Saxena
P0194,James Faulkner,James Faulkner
P0195,James Franklin,James Franklin
P0196,James Hopes,James Hopes
P0197,James Neesham,James Neesham
P0198,James Pattinson,James Pattinson
P0199,Jason Behrendorff,Jason Behrendorff
P0200,Jason Holder,Jason Holder
P0201,Jason Roy,Jason Roy
P0202,Jasprit Bumrah,Jasprit Bumrah
P0203,Jayant Yadav,Jayant Yadav
P0204,Jaydev Unadkat,Jaydev Unadkat
P0205,Jerome Taylor,Jerome Taylor
P0206,Jesse Ryder,Jesse Ryder
P0207,Jhye Richardson,Jhye Richardson
P0208,Jitesh Sharma,Jitesh Sharma
P0209,Joe Root,Joe Root
P0210,Jofra Archer,Jofra Archer
P0211,Joginder Sharma,Joginder Sharma
P0212,Johan Botha,Johan Botha
P0213,Johan van der Wath,Johan van der Wath
P0214,John Hastings,John Hastings
P0215,Jonathan Vandiar,Jonathan Vandiar
P0216,Jonny Bairstow,Jonny Bairstow
P0217,Jordan Cox,Jordan Cox
P0218,Jos Buttler,Jos Buttler
P0219,Josh Hazlewood,Josh Hazlewood
P0220,Josh Inglis,Josh Inglis
P0221,Joshua Little,Joshua Little
P0222,Justin Kemp,Justin Kemp
P0223,K Bhagath Varma,K Bhagath Varma
P0224,K C Cariappa,K C Cariappa|KC Cariappa
P0225,K Gowtham,K Gowtham
P0226,K M Asif,K M Asif
P0227,K S Bharat,K S Bharat
P0228,KL Rahul,KL Rahul
P0229,KL Shrijith,KL Shrijith
P0230,Kagiso Rabada,Kagiso Rabada
P0231,Kamlesh Nagarkoti,Kamlesh Nagarkoti
P0232,Kane Williamson,Kane Williamson
P0233,Kanishk Chouhan,Kanishk Chouhan
P0234,Karan Sharma,Karan Sharma|Kartik Sharma
P0235,Karanveer Singh,Karanveer Singh
P0236,Kartik Tyagi,Kartik Tyagi
P0237,Karun Nair,Karun Nair
P0238,Kedar Devdhar,Kedar Devdhar
P0239,Kedar Jadhav,Kedar Jadhav
P0240,Kemar Roach,Kemar Roach
P0241,Kevin Pietersen,Kevin Pietersen
P0242,Kevon Cooper,Kevon Cooper
P0243,Kieron Pollard,Kieron Pollard
P0244,Krains Fuletra,Krains Fuletra
P0245,Krishnappa Gowtham,Krishnappa Gowtham
P0246,Krunal Pandya,Krunal Pandya
P0247,Kuldeep Sen,Kuldeep Sen
P0248,Kuldeep Yadav,Kuldeep Yadav|Kuldip Yadav
P0249,Kulwant Khejroliya,Kulwant Khejroliya
P0250,Kumar Sangakkara,Kumar Sangakkara
P0251,Kunal Rathore,Kunal Rathore
P0252,Kusal Perera,Kusal Perera
P0253,Kyle Jamieson,Kyle Jamieson
P0254,Kyle Mayers,Kyle Mayers
P0255,Kyle Mills,Kyle Mills
P0256,Lakshmipathy Balaji,Lakshmipathy Balaji
P0257,Lalit Yadav,Lalit Yadav
P0258,Lasith Malinga,Lasith Malinga
P0259,Liam Livingstone,Liam Livingstone
P0260,Litton Das,Litton Das
P0261,Lockie Ferguson,Lockie Ferguson
P0262,Luke Pomersbach,Luke Pomersbach
P0263,Luke Wood,Luke Wood
P0264,Lukman Meriwala,Lukman Meriwala
P0265,Lungisani Ngidi,Lungi Ngidi|Lungisani Ngidi
P0266,Luvnith Sisodia,Luvnith Sisodia
P0267,MS Dhoni,MS Dhoni
P0268,Maheesh Theekshana,Maheesh Theekshana
P0269,Mahela Jayawardene,Mahela Jayawardene
P0270,Mahipal Lomror,Mahipal Lomror
P0271,Manan Vohra,Manan Vohra
P0272,Mandeep Singh,Mandeep Singh
P0273,Mangesh Yadav,Mangesh Yadav|Mayank Yadav
P0274,Manimaran Siddharth,Manimaran Siddharth
P0275,Manish Pandey,Manish Pandey
P0276,Manoj Bhandage,Manoj Bhandage
P0277,Manoj Tiwary,Manoj Tiwary
P0278,Manpreet Gony,Manpreet Gony
P0279,Marchant de Lange,Marchant de Lange
P0280,Marco Jansen,Marco Jansen
P0281,Marcus Stoinis,Marcus Stoinis
P0282,Mark Boucher,Mark Boucher
P0283,Mark Wood,Mark Wood
P0284,Marnus Labuschagne,Marnus Labuschagne
P0285,Martin Guptill,Martin Guptill
P0286,Mashrafe Mortaza,Mashrafe Mortaza
P0287,Matheesha Pathirana,Matheesha Pathirana
P0288,Matt Henry,Matt Henry
P0289,Matthew Hayden,Matthew Hayden
P0290,Matthew Short,Matthew Short
P0291,Matthew Wade,Matthew Wade
P0292,Mayank Agarwal,Mayank Agarwal
P0293,Mayank Dagar,Mayank Dagar
P0294,Mayank Markande,Mayank Markande
P0295,Mayank Rawat,Mayank Rawat
P0296,Michael Hussey,Michael Hussey
P0297,Michael Klinger,Michael Klinger
P0298,Michael Lumb,Michael Lumb
P0299,Misbah-ul-Haq,Misbah-ul-Haq
P0300,Mitchell Johnson,Mitchell Johnson
P0301,Mitchell Marsh,Mitchell Marsh
P0302,Mitchell McClenaghan,Mitchell McClenaghan
P0303,Mitchell Santner,Mitchell Santner
P0304,Moeen Ali,Moeen Ali
P0305,Mohammed Arshad Khan,Mohammed Arshad Khan
P0306,Mohammed Ashraful,Mohammed Ashraful
P0307,Mohammed Asif,Mohammed Asif
P0308,Mohammed Azharuddeen,Mohammed Azharuddeen
P0309,Mohammed Izhar,Mohammed Izhar
P0310,Mohammed Kaif,Mohammed Kaif
P0311,Mohammed Nabi,Mohammed Nabi
P0312,Mohammed Shami,Mohammed Shami
P0313,Mohammed Siraj,Mohammed Siraj
P0314,Mohit Rathee,Mohit Rathee
P0315,Mohit Sharma,Mohit Sharma
P0316,Mohsin Khan,Mohsin Khan
P0317,Moises Henriques,Moises Henriques
P0318,Morné Morkel,Morné Morkel
P0319,Mujeeb Ur Rahman,Mujeeb Ur Rahman
P0320,Mukesh Choudhary,Mukesh Choudhary|Mukul Choudhary
P0321,Mukesh Kumar,Mukesh Kumar
P0322,Munaf Patel,Munaf Patel
P0323,Murali Kartik,Murali Kartik
P0324,Murali Vijay,Murali Vijay
P0325,Murugan Ashwin,Murugan Ashwin
P0326,Mustafizur Rahman,Mustafizur Rahman
P0327,Muttiah Muralitharan,Muttiah Muralitharan
P0328,N Jagadeesan,N Jagadeesan
P0329,N Tilak Varma,N Tilak Varma|Tilak Varma
P0330,Naman Ojha,Naman Ojha
P0331,Naman Tiwari,Naman Tiwari
P0332,Nathan Coulter-Nile,Nathan Coulter-Nile
P0333,Nathan Ellis,Nathan Ellis
P0334,Nathan McCullum,Nathan McCullum
P0335,Nathan Rimmington,Nathan Rimmington
P0336,Navdeep Saini,Navdeep Saini
P0337,Naveen Ul Haq,Naveen Ul Haq|Naveen-ul-Haq
P0338,Nehal Wadhera,Nehal Wadhera
P0339,Nicholas Pooran,Nicholas Pooran
P0340,Nishant Sindhu,Nishant Sindhu
P0341,Nitish Kumar Reddy,Nitish Kumar Reddy
P0342,Nitish Rana,Nitish Rana
P0343,Noor Ahmad,Noor Ahmad
P0344,Nuwan Kulasekara,Nuwan Kulasekara
P0345,Nuwan Pradeep,Nuwan Pradeep
P0346,Obed Mccoy,Obed Mccoy
P0347,Odean Smith,Odean Smith
P0348,Onkar Tarmale,Onkar Tarmale
P0349,Oshane Thomas,Oshane Thomas
P0350,Owais Shah,Owais Shah
P0351,Pankaj Singh,Pankaj Singh
P0352,Parthiv Patel,Parthiv Patel
P0353,Pat Cummins,Pat Cummins
P0354,Pathum Nissanka,Pathum Nissanka
P0355,Paul Collingwood,Paul Collingwood
P0356,Pawan Negi,Pawan Negi
P0357,Phil Salt,Phil Salt
P0358,Piyush Chawla,Piyush Chawla
P0359,Prabhsimran Singh,Prabhsimran Singh|Pratham Singh|Pratyush Singh
P0360,Pradeep Sangwan,Pradeep Sangwan
P0361,Praful Hinge,Praful Hinge
P0362,Pragyan Ojha,Pragyan Ojha
P0363,Prashant Solanki,Prashant Solanki
P0364,Prashant Veer,Prashant Veer
P0365,Prasidh Krishna,Prasidh Krishna
P0366,Praveen Dubey,Praveen Dubey|Pravin Dubey
P0367,Praveen Kumar,Praveen Kumar
P0368,Prerak Mankad,Prerak Mankad
P0369,Prithvi Raj,Prithvi Raj
P0370,Prithvi Shaw,Prithvi Shaw
P0371,Priyam Garg,Priyam Garg
P0372,Qais Ahmad,Qais Ahmad
P0373,Quinton De Kock,Quinton De Kock|Quinton de Kock
P0374,R Ashwin,R Ashwin
P0375,RP Singh,R P Singh|RP Singh
P0376,R Sai Kishore,R Sai Kishore
P0377,R Samarth,R Samarth
P0378,Rachin Ravindra,Rachin Ravindra
P0379,Raghav Goyal,Raghav Goyal
P0380,Rahul Buddhi,Rahul Buddhi
P0381,Rahul Chahar,Rahul Chahar
P0382,Rahul Dravid,Rahul Dravid
P0383,Rohit Sharma,Rahul Sharma|Rohit Sharma
P0384,Rahul Tewatia,Rahul Tewatia
P0385,Rahul Tripathi,Rahul Tripathi
P0386,Raj Angad Bawa,Raj Angad Bawa
P0387,Rajan Kumar,Rajan Kumar
P0388,Rajat Patidar,Rajat Patidar
P0389,Rajvardhan Hangargekar,Rajvardhan Hangargekar
P0390,Ramandeep Singh,Ramandeep Singh
P0391,Ramesh Kumar,Ramesh Kumar
P0392,Ramesh Powar,Ramesh Powar
P0393,Rashid Khan,Rashid Khan
P0394,Rasikh Dar,Rasikh Dar
P0395,Rassie Van Der Dussen,Rassie Van Der Dussen|Rassie van der Dussen
P0396,Ravi Bishnoi,Ravi Bishnoi
P0397,Ravi Bopara,Ravi Bopara
P0398,Rinku Singh,Ravi Singh|Rinku Singh
P0399,Ravichandran Ashwin,Ravichandran Ashwin
P0400,Ravindra Jadeja,Ravindra Jadeja
P0401,Reece Topley,Reece Topley
P0402,Ricky Ponting,Ricky Ponting
P0403,Rilee Rossouw,Rilee Rossouw
P0404,Riley Meredith,Riley Meredith
P0405,Ripal Patel,Ripal Patel
P0406,Rishabh Pant,Rishabh Pant
P0407,Rishi Dhawan,Rishi Dhawan
P0408,Riyan Parag,Riyan Parag
P0409,Robert Frylinck,Robert Frylinck
P0410,Robin Peterson,Robin Peterson
P0411,Robin Uthappa,Robin Uthappa
P0412,Roelof van der Merwe,Roelof van der Merwe
P0413,Romario Shepherd,Romario Shepherd
P0414,Ross Taylor,Ross Taylor
P0415,Rovman Powell,Rovman Powell
P0416,Rusty Theron,Rusty Theron
P0417,Ruturaj Gaikwad,Ruturaj Gaikwad
P0418,Ryan Harris,Ryan Harris
P0419,Ryan ten Doeschate,Ryan ten Doeschate
P0420,Sreesanth,S Sreesanth|Sreesanth
P0421,Sachin Baby,Sachin Baby
P0422,Sachin Tendulkar,Sachin Tendulkar
P0423,Sahil Parekh,Sahil Parekh
P0424,Sai Sudharsan,Sai Sudharsan
P0425,Sakib Hussain,Sakib Hussain
P0426,Salil Arora,Salil Arora
P0427,Sam Billings,Sam Billings
P0428,Sam Curran,Sam Curran
P0429,Samarth Vyas,Samarth Vyas
P0430,Sanath Jayasuriya,Sanath Jayasuriya
P0431,Sandeep Lamichhane,Sandeep Lamichhane
P0432,Sandeep Sharma,Sandeep Sharma
P0433,Sanju Samson,Sanju Samson
P0434,Sanvir Singh,Sanvir Singh
P0435,Sarfaraz Khan,Sarfaraz Khan|Sarfraz Khan
P0436,Sarthak Ranjan,Sarthak Ranjan
P0437,Satvik Deswal,Satvik Deswal
P0438,Saurabh Dubey,Saurabh Dubey
P0439,Saurabh Kumar,Saurabh Kumar
P0440,Saurabh Tiwary,Saurabh Tiwary
P0441,Scott Kuggeleijn,Scott Kuggeleijn
P0442,Scott Styris,Scott Styris
P0443,Sean Abbott,Sean Abbott
P0444,Shahbaz Ahamad,Shahbaz Ahamad
P0445,Shahbaz Nadeem,Shahbaz Nadeem
P0446,Shahid Afridi,Shahid Afridi
P0447,Shahrukh Khan,Shahrukh Khan
P0448,Shaik Rasheed,Shaik Rasheed
P0449,Shakib Al Hasan,Shakib Al Hasan
P0450,Shams Mulani,Shams Mulani
P0451,Shane Bond,Shane Bond
P0452,Shane Warne,Shane Warne
P0453,Shane Watson,Shane Watson
P0454,Shardul Thakur,Shardul Thakur
P0455,Shashank Singh,Shashank Singh
P0456,Shaun Marsh,Shaun Marsh
P0457,Shaun Pollock,Shaun Pollock
P0458,Shaun Tait,Shaun Tait
P0459,Sheldon Cottrell,Sheldon Cottrell
P0460,Sheldon Jackson,Sheldon Jackson
P0461,Sherfane Rutherford,Sherfane Rutherford
P0462,Shikhar Dhawan,Shikhar Dhawan
P0463,Shimron Hetmyer,Shimron Hetmyer
P0464,Shivam Dube,Shivam Dube
P0465,Shivam Mavi,Shivam Mavi
P0466,Shivang Kumar,Shivang Kumar
P0467,Shoaib Malik,Shoaib Malik
P0468,Shreyas Gopal,Shreyas Gopal
P0469,Shreyas Iyer,Shreyas Iyer
P0470,Shubham Garhwal,Shubham Garhwal
P0471,Shubman Gill,Shubman Gill
P0472,Siddharth Kaul,Siddharth Kaul
P0473,Siddhesh Lad,Siddhesh Lad
P0474,Sikandar Raza,Sikandar Raza
P0475,Simarjeet Singh,Simarjeet Singh
P0476,Simon Katich,Simon Katich
P0477,Sohail Tanvir,Sohail Tanvir
P0478,Sonu Yadav,Sonu Yadav
P0479,Sourav Ganguly,Sourav Ganguly
P0480,Srikar Bharat,Srikar Bharat
P0481,Stephen Fleming,Stephen Fleming
P0482,Stephen O'Keefe,Stephen O'Keefe
P0483,Steven Smith,Steve Smith|Steven Smith
P0484,Stuart Binny,Stuart Binny
P0485,Stuart Broad,Stuart Broad
P0486,Subhranshu Senapati,Subhranshu Senapati
P0487,Subramaniam Badrinath,Subramaniam Badrinath
P0488,Sudeep Tyagi,Sudeep Tyagi
P0489,Sudhesan Midhun,Sudhesan Midhun
P0490,Sunil Narine,Sunil Narine
P0491,Suraj Randiv,Suraj Randiv
P0492,Suresh Raina,Suresh Raina
P0493,Suryakumar Yadav,Suryakumar Yadav
P0494,Sushant Mishra,Sushant Mishra
P0495,Suyash Prabhudessai,Suyash Prabhudessai
P0496,Suyash Sharma,Suyash Sharma
P0497,Syed Khaleel Ahmed,Syed Khaleel Ahmed
P0498,T Natarajan,T Natarajan
P0499,Tajinder Singh,Tajinder Singh
P0500,Tejas Baroka,Tejas Baroka
P0501,Tejasvi Singh,Tejasvi Singh
P0502,Thilan Thushara,Thilan Thushara
P0503,Thissara Perera,Thisara Perera|Thissara Perera
P0504,Tillakaratne Dilshan,Tillakaratne Dilshan
P0505,Tim David,Tim David
P0506,Tim Paine,Tim Paine
P0507,Tim Seifert,Tim Seifert
P0508,Tim Southee,Tim Southee
P0509,Tom Banton,Tom Banton
P0510,Tom Curran,Tom Curran
P0511,Travis Birt,Travis Birt
P0512,Travis Head,Travis Head
P0513,Trent Boult,Trent Boult
P0514,Tristan Stubbs,Tristan Stubbs
P0515,Tushar Deshpande,Tushar Deshpande
P0516,Tymal Mills,Tymal Mills
P0517,Tyron Henderson,Tyron Henderson
P0518,Umesh Yadav,Umesh Yadav
P0519,Umran Malik,Umran Malik
P0520,Urvil Patel,Urvil Patel
P0521,Utkarsh Singh,Utkarsh Singh
P0522,VVS Laxman,VVS Laxman
P0523,Vaibhav Arora,Vaibhav Arora
P0524,Varun Aaron,Varun Aaron
P0525,Varun Chakravarthy,Varun Chakravarthy
P0526,Venkatesh Iyer,Venkatesh Iyer
P0527,Venugopal Rao,Venugopal Rao
P0528,Vicky Ostwal,Vicky Ostwal
P0529,Vidwath Kaverappa,Vidwath Kaverappa
P0530,Vignesh Puthur,Vignesh Puthur
P0531,Vihaan Malhotra,Vihaan Malhotra
