season,player,matches_played,team,bat_innings,runs,balls_faced,fours,sixes,bat_dots,dismissals,highest_score,not_outs,fifties,hundreds,batting_avg,batting_sr,bowl_innings,overs,balls_bowled,runs_conceded,wickets,bowl_dots,wides,no_balls,fours_conceded,sixes_conceded,bowling_avg,economy,bowling_sr,four_wickets,five_wickets,best_figures,catches,run_outs,stumpings
2008,Yuvraj Singh,14.0,Kings XI Punjab,14.0,299.0,191.0,24.0,19.0,68.0,13.0,57.0,1.0,1.0,0.0,23.0,156.54450261780104,6.0,9.2,56.0,85.0,3.0,12.0,0.0,0.0,5.0,4.0,28.333333333333332,9.107142857142856,18.666666666666668,0.0,0.0,2/14,,,
2008,Y Venugopal Rao,10.0,Deccan Chargers,10.0,288.0,217.0,22.0,15.0,87.0,8.0,71.0,2.0,2.0,0.0,36.0,132.7188940092166,7.0,14.399999999999999,88.0,137.0,2.0,22.0,0.0,0.0,15.0,3.0,68.5,9.340909090909092,44.0,0.0,0.0,2/25,,,
2008,JA Morkel,10.0,Chennai Super Kings,10.0,241.0,168.0,18.0,14.0,63.0,7.0,71.0,3.0,1.0,0.0,34.42857142857143,143.45238095238096,13.0,50.199999999999996,310.0,414.0,17.0,100.0,0.0,0.0,38.0,11.0,24.352941176470587,8.012903225806452,18.235294117647058,1.0,0.0,4/32,,,
2008,MV Boucher,10.0,Royal Challengers Bangalore,10.0,225.0,181.0,24.0,6.0,68.0,7.0,50.0,3.0,1.0,0.0,32.142857142857146,124.30939226519338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2008,JR Hopes,11.0,Kings XI Punjab,11.0,221.0,152.0,27.0,8.0,61.0,11.0,71.0,0.0,2.0,0.0,20.09090909090909,145.39473684210526,11.0,28.3,171.0,285.0,7.0,52.0,0.0,0.0,22.0,17.0,40.714285714285715,10.0,24.428571428571427,0.0,0.0,2/31,,,
2008,AM Nayar,10.0,Mumbai Indians,10.0,206.0,142.0,16.0,9.0,42.0,8.0,45.0,2.0,0.0,0.0,25.75,145.07042253521126,5.0,7.1,43.0,69.0,1.0,14.0,0.0,0.0,3.0,6.0,69.0,9.627906976744185,43.0,0.0,0.0,1/19,,,
2008,JH Kallis,11.0,Royal Challengers Bangalore,11.0,199.0,188.0,23.0,4.0,82.0,11.0,54.0,0.0,1.0,0.0,18.09090909090909,105.85106382978724,11.0,34.7,211.0,322.0,4.0,55.0,0.0,0.0,33.0,9.0,80.5,9.156398104265403,52.75,0.0,0.0,2/39,,,
2008,SP Fleming,10.0,Chennai Super Kings,10.0,196.0,171.0,27.0,3.0,86.0,9.0,45.0,1.0,0.0,0.0,21.77777777777778,114.61988304093566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2008,Salman Butt,7.0,Kolkata Knight Riders,7.0,193.0,172.0,30.0,2.0,86.0,7.0,73.0,0.0,1.0,0.0,27.571428571428573,112.20930232558139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2008,S Badrinath,11.0,Chennai Super Kings,11.0,192.0,138.0,21.0,8.0,59.0,6.0,64.0,5.0,2.0,0.0,32.0,139.1304347826087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2008,ML Hayden,4.0,Chennai Super Kings,4.0,189.0,135.0,24.0,6.0,53.0,3.0,81.0,1.0,2.0,0.0,63.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2008,BB McCullum,4.0,Kolkata Knight Riders,4.0,188.0,96.0,13.0,15.0,32.0,3.0,158.0,1.0,0.0,1.0,62.666666666666664,195.83333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2008,SR Tendulkar,7.0,Mumbai Indians,7.0,188.0,189.0,26.0,2.0,97.0,6.0,65.0,1.0,1.0,0.0,31.333333333333332,99.47089947089947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2008,DPMD Jayawardene,12.0,Kings XI Punjab,12.0,179.0,138.0,15.0,7.0,52.0,7.0,45.0,5.0,0.0,0.0,25.571428571428573,129.71014492753622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2008,DJ Bravo,7.0,Mumbai Indians,7.0,178.0,137.0,19.0,5.0,53.0,6.0,64.0,1.0,1.0,0.0,29.666666666666668,129.92700729927006,9.0,29.7,181.0,239.0,11.0,66.0,0.0,0.0,20.0,10.0,21.727272727272727,7.922651933701657,16.454545454545453,0.0,0.0,3/24,,,
2008,M Kaif,14.0,Rajasthan Royals,14.0,176.0,176.0,14.0,6.0,87.0,11.0,34.0,3.0,0.0,0.0,16.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2008,MEK Hussey,3.0,Chennai Super Kings,3.0,168.0,100.0,12.0,11.0,31.0,2.0,116.0,1.0,0.0,1.0,84.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2008,HH Gibbs,9.0,Deccan Chargers,9.0,167.0,159.0,17.0,8.0,90.0,9.0,47.0,0.0,0.0,0.0,18.555555555555557,105.0314465408805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
