,Name,Role,Country,Status,Base_Price(Lakh),Final_Price(Lakh),Team,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Balls,Wkts,BBI,BBM,Econ,4w,5w
72,Shaun Marsh,Batsman , Australia,UNSOLD,100,-,-,197,194,24,13,115,-,5023,-,2,50,613,205,63,0,12,0,-,-,6.50,0,0
73,Rovman Powell,Batsman , West Indies,UNSOLD,50,-,-,80,69,13,730,84,45.62,967,26.6,0,5,80,70,45,0,426,16,2/21,2/21,10.28,0,0
74,Tejas Baroka,Bowler , India,UNSOLD,20,-,-,3,-,-,78,-,-,-,-,-,-,-,-,0,0,39,0,-,-,12.00,0,0
75,Sudhesan Midhun,Bowler , India,UNSOLD,20,-,-,17,7,3,417,17,27.80,22,24.1,0,0,0,2,3,0,362,15,4/5,4/5,6.91,1,0
76,Sandeep Lamichhane,Bowler , Nepal,UNSOLD,40,-,-,96,29,16,2358,10*,18.86,91,16.6,0,0,3,0,14,0,2083,125,4/10,4/10,6.79,2,0
77,KC Cariappa,Bowler , India,SOLD,20,20,RR,29,8,4,743,12*,29.72,29,24.9,0,0,0,2,4,0,624,25,4/15,4/15,7.14,1,0
78,Lukman Meriwala,Bowler , India,SOLD,20,20,DC,44,5,3,1047,6*,14.54,6,12.9,0,0,1,0,13,0,934,72,5/8,5/8,6.72,1,3
79,Jagadeesha Suchith,Bowler , India,SOLD,20,30,SRH,58,28,14,1347,34*,26.41,206,21.7,0,0,19,8,25,0,1110,51,3/2,3/2,7.28,0,0
80,Karanveer Singh,Bowler , India,UNSOLD,20,-,-,16,6,4,466,17*,22.19,54,15.5,0,0,3,0,7,0,326,21,4/15,4/15,8.57,2,0
81,Manimaran Siddharth,Bowler , India,SOLD,20,20,DC,6,1,1,109,1*,6.81,2,8.2,0,0,0,0,4,0,132,16,4/16,4/16,4.95,3,0
82,Tushar Deshpande,Bowler , India,UNSOLD,20,-,-,27,9,4,843,20*,23.41,25,15.6,0,0,3,1,4,0,562,36,4/19,4/19,9.00,2,0
83,Riley Meredith,Bowler , Australia,SOLD,40,800,PBKS,37,6,1,1099,4,23.38,13,17.4,0,0,1,0,7,0,822,47,4/21,4/21,8.02,1,0
84,Kuldeep Sen,Bowler , India,UNSOLD,20,-,-,13,3,2,371,1*,46.37,7,33.2,0,0,0,0,1,0,266,8,3/21,3/21,8.36,0,0
85,Chetan Sakariya,Bowler , India,SOLD,20,100,RR,16,1,0,423,0,15.10,2,12.7,0,0,0,0,6,0,358,28,5/11,5/11,7.08,1,1
86,Ankit Rajpoot,Bowler , India,UNSOLD,30,-,-,82,18,10,2127,8,21.05,79,16.2,0,0,4,2,12,0,1643,101,5/14,5/14,7.76,2,3
87,Avi Barot,Batsman , India,UNSOLD,20,-,-,20,20,1,31,122,31.00,489,18.0,1,5,85,21,6,0,18,1,1/31,1/31,10.33,0,0
88,Mohammed Azharuddeen,WK-Batsman , India,SOLD,20,20,RCB,24,22,2,-,137*,-,317,-,1,0,30,27,19,0,-,-,-,-,-,-,-
89,Kedar Devdhar,WK-Batsman , India,UNSOLD,20,-,-,76,75,6,-,100,-,1826,-,1,13,247,51,34,3,-,-,-,-,-,-,-
90,Sheldon Jackson,WK-Batsman , India,SOLD,20,20,KKR,59,56,8,-,106*,-,1059,-,1,6,123,42,35,4,-,-,-,-,-,-,-
91,Vishnu Vinod,WK-Batsman , India,SOLD,20,20,DC,35,34,4,24,71*,-,666,-,0,5,77,48,10,5,19,0,-,-,7.57,0,0
92,Vivek Singh,Batsman , India,UNSOLD,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
93,Krishnappa Gowtham,Bowling Allrounder , India,SOLD,20,900,CSK,62,49,11,1452,60,35.41,373,27.9,0,2,53,31,19,0,1146,41,4/19,4/19,7.60,1,0
94,Ayush Badoni,Bowling Allrounder , India,UNSOLD,20,-,-,5,1,0,-,8,-,11,-,0,0,1,0,3,0,-,-,-,-,-,-,-
95,Shahrukh Khan,Bowling Allrounder , India,SOLD,20,500,PBKS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96,Ripal Patel,Bowler , India,SOLD,20,20,DC,11,9,3,15,41*,-,101,-,0,0,15,14,4,0,6,0,-,-,15.00,0,0
97,Atit Sheth,Bowler , India,UNSOLD,20,-,-,34,18,16,895,29,19.45,110,15.4,0,0,10,6,10,0,711,46,5/13,5/13,7.55,1,1
98,Himmat Singh,Batsman , India,UNSOLD,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99,Rajat Patidar,Batsman , India,SOLD,20,20,RCB,22,22,2,-,96,-,487,-,0,6,62,28,15,0,-,-,-,-,-,-,-
100,Gahlaut Rahul Singh,Batsman , India,UNSOLD,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
