player_id,canonical_name,aliases
P1128,Vaibhav Arora,Vaibhav Arora
P1129,Vaibhav Rawal,Vaibhav Rawal
P1130,Vaibhav Suryavanshi,Vaibhav Suryavanshi
P1131,Vaisakh Chandran,Vaisakh Chandran
P1132,Vansh Bedi,Vansh Bedi
P1133,Varun Aaron,Varun Aaron
P1134,Varun Chakaravarthy,Varun Chakaravarthy
P1135,Varun Chakravarthy,Varun Chakravarthy
P1136,Veer Pratap Singh,Veer Pratap Singh
P1137,Venkatesh Iyer,Venkatesh Iyer
P1138,Venkatesh Muralidhara,Venkatesh Muralidhara
P1139,Venugopal Rao,Venugopal Rao
P1140,Vicky Ostwal,Vicky Ostwal
P1141,Vidwath Kaverappa,Vidwath Kaverappa
P1142,Vignesh Puthur,Vignesh Puthur
P1143,Vihaan Malhotra,Vihaan Malhotra
P1144,Vijay Shankar,Vijay Shankar
P1145,Vijay Zol,Vijay Zol
P1146,Vijaykumar Vyshak,Vijaykumar Vyshak
P1147,Vikas Tokas,Vikas Tokas
P1148,Vikramjeet Malik,Vikramjeet Malik
P1149,Vinay Kumar,Vinay Kumar
P1150,Vineet Dhankhar,Vineet Dhankhar
P1151,Vipraj Nigam,Vipraj Nigam
P1152,Virat Singh,Virat Singh|Vivek Singh
P1153,Virender Sehwag,Virender Sehwag
P1154,Vishal Godara,Vishal Godara
P1155,Vishal Nishad,Vishal Nishad
P1156,Vishnu Solanki,Vishnu Solanki
P1157,Vishnu Vinod,Vishnu Vinod
P1158,Vishu Kashyap,Vishu Kashyap
P1159,Vishwanath Pratap Singh,Vishwanath Pratap Singh
P1160,Vivrant Sharma,Vivrant Sharma
P1161,Wasim Jaffer,W Jaffer|Wasim Jaffer
P1162,WA Mota,WA Mota
P1163,WD Parnell,WD Parnell
P1164,WP Saha,WP Saha
P1165,WPUJC Vaas,WPUJC Vaas
P1166,Wanindu Hasaranga,Wanindu Hasaranga
P1167,Waseem Bashir,Waseem Bashir
P1168,Washington Sundar,Washington Sundar
P1169,Wayne Parnell,Wayne Parnell
P1170,Wesley Agar,Wesley Agar
P1171,Wiaan Mulder,Wiaan Mulder
P1172,Will Jacks,Will Jacks
P1173,William O'Rourke,William O'Rourke
P1174,William Salzmann,William Salzmann
P1175,Wriddhiman Saha,Wriddhiman Saha
P1176,Writtick Chatterjee,Writtick Chatterjee
P1177,Xavier Bartlett,Xavier Bartlett
P1178,Y Nagar,Y Nagar
P1179,Y Venugopal Rao,Y Venugopal Rao
P1180,YBK Jaiswal,YBK Jaiswal
P1181,YK Pathan,YK Pathan|Yusuf Pathan
P1182,YS Chahal,YS Chahal
P1183,Yogesh Takawale,YV Takawale|Yogesh Takawale
P1184,Yash Dayal,Yash Dayal
P1185,Yash Dhull,Yash Dhull
P1186,Yash Raj Punja,Yash Raj Punja
P1187,Yash Thakur,Yash Thakur
P1188,Yashasvi Jaiswal,Yashasvi Jaiswal
P1189,Yogesh Gowalkar,Yogesh Gowalkar
P1190,Yudhvir Charak,Yudhvir Charak
P1191,Yudhvir Singh,Yudhvir Singh
P1192,Yusuf Abdulla,Yusuf Abdulla
P1193,Yuvraj Chudasama,Yuvraj Chudasama
P1194,Yuvraj Singh,Yuvraj Singh
P1195,Yuzvendra Singh Chahal,Yuzvendra Chahal|Yuzvendra Singh Chahal
P1196,Z Khan,Z Khan
P1197,Zaheer Khan,Zaheer Khan
P1198,Zahir Khan Pakteen,Zahir Khan Pakteen
P1199,Zak Foulkes,Zak Foulkes
P1200,Zeeshan Ansari,Zeeshan Ansari
